Rank,Tier,Pokemon,Type1,Type2
84,C,Heatran,Fire,
85,C,Shadow Gigalith,Normal,Rock
86,C,Shadow Excadrill,Ground,
87,C,Haxorus,Dragon,
88,C,Galarian Zapdos,Fighting,Flying
89,C,Shadow Weavile,Dark,Ice
90,C,Shadow Toucannon,Flying,
91,C,Shadow Blaziken,Fire,Fighting
92,C,Mega Heracross,Fighting,Bug
93,C,Enamorus Therian,Fairy,Flying
94,C,Zekrom,Dragon,Electric
95,C,Tapu Lele,Psychic,Fairy
96,C,Terrakion,Rock,Fighting
97,C,Shadow Entei,Fire,
98,C,Mega Gallade,Psychic,
99,C,Rhyperior,Ground,Rock
100,C,Shadow Charizard,Fire,
101,C,Shadow Rampardos,Rock,
102,C,Landorus Therian,Ground,
103,C,Apex Shadow Lugia,Psychic,Flying
104,C,Shadow Lugia,Psychic,Flying
105,C,Xurkitree,Electric,
106,C,Tyranitar,Rock,Dark
107,C,Victini,Normal,Fire
108,C,Giratina Origin,Ghost,
109,C,Shadow Conkeldurr,Fighting,
110,C,Hydreigon,Dark,
111,C,Metagross,Bug,Steel
112,C,Mega Gyarados,Dark,Water
113,C,Chandelure,Fire,Ghost
114,C,Darkrai,Dark,Ghost
115,D,Shadow Giratina Altered,Ghost,
116,D,Shadow Gengar,Ghost,
117,D,Gholdengo,Ghost,
118,D,Mega Manectric,Electric,
119,D,Kyurem,Dragon,Ice
120,D,Groudon,Ground,
121,D,Mega Skarmory,Steel,Flying
122,D,Hoopa Unbound,Psychic,Ghost
123,D,Tapu Koko,Electric,Fairy
124,D,Shadow Latias,Dragon,Fighting
125,D,Shadow Gardevoir,Fairy,
126,D,Shadow Staraptor,Ground,Flying
127,D,Shadow Tyrantrum,Rock,
128,D,Shadow Swampert,Ground,Water
129,D,Keldeo Ordinary,Fighting,
130,D,Latios,Dragon,Fighting
131,D,Shadow Samurott,Bug,Water
132,D,Zacian (Hero of Many Battles),Dark,Fairy
133,D,Shadow Empoleon,Steel,Water
134,D,Shadow Ursaluna,Rock,Fairy
135,D,Mega Ampharos,Electric,Dark
136,D,Mamoswine,Ground,Ice
137,D,Tapu Bulu,Grass,Fairy
138,D,Shadow Aurorus,Rock,Ice
139,D,Shadow Typhlosion,Fire,
140,D,Mega Abomasnow,Ice,
141,D,Shadow Electivire,Electric,
142,D,Mega Raichu X,Electric,
143,D,Cinderace,Fire,
144,D,Shadow Vikavolt,Bug,Flying
145,D,Mega Pidgeot,Flying,
146,D,Dragonite,Dragon,
147,D,Palkia,Dragon,
148,D,Shadow Infernape,Fire,
149,D,Hoopa Confined,Ghost,
150,F,Mega Lopunny,Normal,Ghost
151,F,Incineroar,Dark,Fire
152,F,Delphox,Fire,
153,F,Dialga,Steel,Dragon
154,F,Shadow Magnezone,Electric,
155,F,Rampardos,Rock,
156,F,Shadow Honchkrow,Dark,Flying
157,F,Emboar,Fighting,Fire
158,F,Blaziken,Fire,Fighting
159,F,Kartana,Bug,Fighting
160,F,Toucannon,Flying,
161,F,Volcarona,Fire,
162,F,Glimmora,Rock,
163,F,Zapdos,Electric,Flying
164,F,Gigalith,Normal,Rock
165,F,Kyogre,Water,Ice
166,F,Primarina,Fairy,Water
167,F,Mega Glalie,Ice,
168,F,Lucario,Fighting,
169,F,Galarian Darmanitan Standard,Ice,
170,F,Annihilape,Fighting,Ghost
171,F,Landorus Incarnate,Ground,
172,F,Kingambit,Dark,
173,F,Weavile,Dark,Ice
174,F,Excadrill,Steel,Ground
175,F,Urshifu Single Strike,Dark,Fighting
176,F,Gengar,Ghost,
177,F,Shadow Magmortar,Fire,
178,F,Shadow Rhydon,Ground,Dragon
179,F,Raikou,Electric,
180,F,Shadow Hippowdon,Ground,
181,F,Shadow Arcanine,Fire,
182,F,Xerneas,Fairy,
183,F,Shadow Feraligatr,Water,
184,F,Nihilego,Poison,Rock
185,F,Braviary,Flying,
186,F,Shadow Darmanitan Standard,Fire,Rock
187,F,Galarian Moltres,Dark,Flying
188,F,Mega Pinsir,Bug,
189,F,Shadow Articuno,Ice,
190,F,Ceruledge,Fire,Ghost
191,F,Shadow Luxray,Dark,Electric
192,F,Thundurus Therian,Electric,
193,F,Regieleki,Normal,Electric
194,F,Melmetal,Electric,Steel
195,F,Ho-Oh,Fire,Flying
196,F,Shadow Archeops,Flying,Rock
197,F,Charizard,Fire,
198,F,Urshifu Rapid Strike,Fighting,
199,F,Shadow Hariyama,Fighting,
200,F,Shadow Greninja,Water,
201,F,Cetitan,Ice,
202,F,Staraptor,Ground,Flying
203,F,Shadow Machamp,Fighting,
204,F,Polteageist Antique,Dark,Ghost
205,F,Polteageist Phony,Dark,Ghost
206,F,Dhelmise,Ghost,
207,F,Guzzlord,Dark,
208,F,Skeledirge,Ghost,Fire
209,F,Shadow Golurk,Ground,
210,F,Entei,Fire,
211,F,Shadow Trevenant,Ghost,
212,F,Conkeldurr,Fighting,
213,F,Hisuian Typhlosion,Ghost,
214,F,Togekiss,Fairy,
215,F,Tyrantrum,Rock,
216,F,Shadow Kingler,Water,
217,F,Quaquaval,Water,
218,F,Marshadow,Ghost,Rock
219,F,Shadow Thundurus Incarnate,Electric,
220,F,Inteleon,Water,
221,F,Shadow Aggron,Rock,
222,F,Shadow Aerodactyl,Rock,
223,F,Electivire,Electric,
224,F,Shadow Gyarados,Water,
225,F,Glaceon,Ice,
226,F,Shadow Alakazam,Psychic,Ghost
227,F,Honchkrow,Dark,Flying
228,F,Hisuian Decidueye,Psychic,Fighting
229,F,Gardevoir,Fairy,
230,F,Typhlosion,Fire,
231,F,Mega Camerupt,Fire,Ground
232,F,Shadow Torterra,Ground,Grass
233,F,Shadow Crustle,Bug,Rock
234,F,Mega Scizor,Bug,
235,F,Zarude,Dark,Grass
236,F,Giratina Altered,Ghost,
237,F,Infernape,Fire,
238,F,Latias,Dragon,Fighting
239,F,Mega Starmie,Water,
240,F,Tinkaton,Fairy,Steel
241,F,Vikavolt,Bug,Flying
242,F,Shadow Drifblim,Ghost,
243,F,Jirachi,Psychic,Steel
244,F,Mega Beedrill,Bug,Poison
245,F,Volcanion,Fire,
246,F,Lugia,Psychic,Flying
247,F,Samurott,Bug,Water
248,F,Mega Venusaur,Grass,
249,F,Shadow Alolan Golem,Rock,
250,F,Shadow Golem,Rock,
251,F,Shadow Mismagius,Dark,Ghost
252,F,Mega Aggron,Steel,Rock
253,F,Hisuian Arcanine,Fire,Rock
254,F,Empoleon,Steel,Water
255,F,Swampert,Ground,Water
256,F,Shadow Tornadus Incarnate,Flying,Grass
257,F,Hisuian Braviary,Flying,
258,F,Shadow Unfezant,Flying,
259,F,Shadow Absol,Dark,
260,F,Shadow Reuniclus,Fairy,Ghost
261,F,Shadow Omastar,Rock,
262,F,Grimmsnarl,Dark,Fairy
263,F,Kleavor,Bug,Rock
264,F,Ursaluna,Normal,Ground
265,F,Shadow Donphan,Ground,Fairy
266,F,Golisopod,Bug,Water
267,F,Tornadus Therian,Flying,
268,F,Shadow Bewear,Ghost,Fighting
269,F,Stonjourner,Rock,
270,F,Mega Falinks,Fighting,
271,F,Shadow Granbull,Fairy,
272,F,Darmanitan Standard,Fire,
273,F,Aurorus,Rock,Ice
274,F,Shadow Flygon,Dragon,Ground
275,F,Shadow Houndoom,Dark,
276,F,Shadow Crawdaunt,Dark,Water
277,F,Sinistcha,Ghost,
278,F,Sinistcha Masterpiece,Ghost,
279,F,Hisuian Samurott,Dark,Water
280,F,Mega Sharpedo,Dark,
281,F,Shadow Exeggutor,Psychic,
282,F,Shadow Chesnaught,Grass,
283,F,Shadow Gallade,Psychic,
284,F,Magnezone,Electric,
285,F,Mega Altaria,Dragon,Fairy
286,F,Shaymin Sky,Flying,Grass
287,F,Mega Victreebel,Poison,
288,F,Tapu Fini,Water,Fairy
289,F,Flareon,Fire,
290,F,Solgaleo,Fire,
291,F,Shadow Walrein,Ice,
292,F,Greninja,Water,
293,F,Alolan Golem,Rock,Electric
294,F,Luxray,Dark,Electric
295,F,Archeops,Flying,Rock
296,F,Sylveon,Fairy,
297,F,Shadow Armaldo,Bug,Rock
298,F,Hatterene,Fairy,
299,F,Shadow Ursaring,Ghost,Fairy
300,F,Arcanine,Fire,
301,F,Genesect Burn,Steel,
302,F,Genesect Chill,Steel,
303,F,Genesect Douse,Steel,
304,F,Genesect Normal,Steel,
305,F,Genesect Shock,Steel,
306,F,Shadow Abomasnow,Ice,
307,F,Shadow Sceptile,Bug,Grass
308,F,Magmortar,Fire,
309,F,Hydrapple,Dragon,
310,F,Avalugg,Ice,
311,F,Cobalion,Steel,Fighting
312,F,Shadow Porygon Z,Normal,
313,F,Feraligatr,Water,
314,F,Bombirdier,Dark,Flying
315,F,Vanilluxe,Ice,
316,F,Kingler,Water,
317,F,Espeon,Psychic,Ghost
318,F,Absol,Dark,
319,F,Shadow Tangrowth,Grass,
320,F,Armarouge,Fire,
321,F,Shadow Escavalier,Bug,Water
322,F,Naganadel,Poison,
323,F,Shadow Lapras,Ice,Water
324,F,Shadow Scizor,Bug,
325,F,Trevenant,Ghost,
326,F,Alakazam,Psychic,Ghost
327,F,Hisuian Zoroark,Ghost,
328,F,Rhydon,Ground,Dragon
329,F,Shadow Sneasler,Poison,Bug
330,F,Machamp,Fighting,
331,F,Mr. Rime,Ice,
332,F,Virizion,Fighting,
333,F,Drampa,Dragon,Flying
334,F,Celebi,Psychic,Fighting
335,F,Hippowdon,Ground,
336,F,Shadow Regice,Ice,
337,F,Shadow Nidoking,Bug,Ground
338,F,Golurk,Ground,
339,F,Shadow Ampharos,Electric,Dark
340,F,Buzzwole,Fighting,
341,F,Shadow Milotic,Water,
342,F,Mega Slowbro,Water,
343,F,Shadow Talonflame,Fire,Flying
344,F,Duraludon,Dragon,
345,F,Shadow Pinsir,Bug,
346,F,Shadow Cloyster,Ice,
347,F,Hariyama,Fighting,
348,F,Shadow Carracosta,Rock,Water
349,F,Krookodile,Dark,Ground
350,F,Shadow Regirock,Rock,
351,F,Zygarde Fifty Percent,Dragon,
352,F,Shadow Blastoise,Water,
353,F,Articuno,Ice,
354,F,Shadow Venusaur,Grass,
355,F,Kommo-o,Dragon,
356,F,Thundurus Incarnate,Electric,
357,F,Rillaboom,Grass,
358,F,Shadow Ninetales,Fire,
359,F,Aggron,Rock,
360,F,Houndstone,Ghost,
361,F,Clawitzer,Water,
362,F,Goodra,Dragon,
363,F,Mismagius,Dark,Ghost
364,F,Crawdaunt,Dark,Water
365,F,Zygarde Complete,Dragon,
366,F,Aerodactyl,Rock,
367,F,Necrozma,Ghost,Dragon
368,F,Shadow Piloswine,Ice,
369,F,Unfezant,Flying,
370,F,Shadow Crobat,Flying,Ghost
371,F,Shadow Nidoqueen,Ground,
372,F,Passimian,Fighting,Dark
373,F,Hisuian Avalugg,Ice,Rock
374,F,Crustle,Bug,Rock
375,F,Shadow Snorlax,Ghost,Normal
376,F,Mega Kangaskhan,Ground,Dragon
377,F,Shadow Dusknoir,Ghost,
378,F,Roserade,Poison,Fire
379,F,Drifblim,Ghost,
380,F,Shadow Corviknight,Steel,Flying
381,F,Decidueye,Ghost,
382,F,Alolan Exeggutor,Dragon,
383,F,Meloetta,Normal,Ice
384,F,Pawmot,Electric,
385,F,Granbull,Fairy,
386,F,Shadow Politoed,Water,
387,F,Shadow Kingdra,Dragon,
388,F,Houndoom,Dark,
389,F,Shadow Cofagrigus,Ghost,
390,F,Zamazenta (Hero of Many Battles),Dark,Fighting
391,F,Overqwil,Poison,Ghost
392,F,Frosmoth,Bug,Ice
393,F,Beartic,Fairy,Ice
394,F,Cryogonal,Ice,
395,F,Shadow Alolan Muk,Ghost,Dark
396,F,Stakataka,Rock,
397,F,Tornadus Incarnate,Flying,
398,F,Shadow Shiftry,Dark,
399,F,Gyarados,Water,
400,F,Shadow Toxicroak,Fighting,Ghost
401,F,Mienshao,Fighting,Dark
402,F,Torterra,Ground,Grass
403,F,Hawlucha,Fighting,
404,F,Golem,Rock,
405,F,Jynx,Ice,
406,F,Palossand,Ground,Ghost
407,F,Gourgeist Super Size,Ghost,
408,F,Mega Malamar,Psychic,Dark
409,F,Shadow Banette,Ghost,
410,F,Shadow Poliwrath,Fighting,
411,F,Omastar,Rock,
412,F,Reuniclus,Fairy,Ghost
413,F,Bisharp,Dark,
414,F,Shadow Rapidash,Fire,Electric
415,F,Flygon,Dragon,Ground
416,F,Mudsdale,Ground,
417,F,Jolteon,Electric,
418,F,Zoroark,Dark,
419,F,Shadow Kabutops,Water,Rock
420,F,Pyroar,Fire,
421,F,Sandaconda,Ground,
422,F,Shadow Sandslash,Ground,
423,F,Mew,Dark,Psychic
424,F,Gallade,Psychic,
425,F,Bewear,Ghost,Fighting
426,F,Exeggutor,Psychic,
427,F,Donphan,Ground,Fairy
428,F,Shadow Scyther,Flying,Bug
429,F,Breloom,Fighting,
430,F,Mega Steelix,Steel,Dragon
431,F,Toxtricity Amped,Poison,Electric
432,F,Toxtricity Low Key,Poison,Electric
433,F,Ursaring,Ghost,Fairy
434,F,Sceptile,Bug,Grass
435,F,Shadow Zebstrika,Electric,
436,F,Shadow Heliolisk,Normal,Electric
437,F,Shadow Suicune,Dark,Ice
438,F,Pangoro,Dark,Rock
439,F,Flamigo,Fighting,Flying
440,F,Shadow Manectric,Electric,
441,F,Meowscarada,Fairy,Grass
442,F,Chesnaught,Grass,
443,F,Shadow Gliscor,Ground,
444,F,Porygon Z,Normal,
445,F,Armaldo,Bug,Rock
446,F,Shadow Galarian Weezing,Fairy,
447,F,Barbaracle,Bug,Water
448,F,Gourgeist Large Size,Ghost,
449,F,Banette,Ghost,
450,F,Crabominable,Water,Ice
451,F,Shadow Noivern,Flying,Dragon
452,F,Shadow Magneton,Electric,
453,F,Sirfetchd,Fighting,Flying
454,F,Tsareena,Fairy,Ice
455,F,Abomasnow,Ice,
456,F,Shadow Skuntank,Dark,Poison
457,F,Shadow Starmie,Water,
458,F,Druddigon,Dragon,
459,F,Talonflame,Fire,Flying
460,F,Escavalier,Bug,Water
461,F,Nidoking,Bug,Ground
462,F,Tatsugiri Curly,Water,Dragon
463,F,Tatsugiri Droopy,Water,Dragon
464,F,Tatsugiri Stretchy,Water,Dragon
465,F,Galarian Rapidash,Fairy,
466,F,Shadow Hitmonlee,Fighting,Fire
467,F,Shadow Drapion,Dark,Poison
468,F,Celesteela,Flying,Steel
469,F,Sneasler,Poison,Fighting
470,F,Heracross,Fighting,
471,F,Walrein,Ice,
472,F,Shadow Swanna,Flying,
473,F,Florges Red,Fairy,
474,F,Lycanroc Midnight,Rock,
475,F,Scizor,Bug,
476,F,Shadow Alolan Exeggutor,Psychic,Grass
477,F,Yanmega,Bug,
478,F,Tangrowth,Grass,
479,F,Vaporeon,Water,
480,F,Centiskorch,Bug,
481,F,Shadow Wailord,Water,
482,F,Shadow Slowbro,Water,
483,F,Shadow Slowking,Water,
484,F,Pinsir,Bug,
485,F,Alolan Ninetales,Fairy,Ice
486,F,Cloyster,Ice,
487,F,Diancie,Rock,
488,F,Lycanroc Dusk,Rock,
489,F,Shaymin,Grass,
490,F,Shadow Scolipede,Bug,Poison
491,F,Lycanroc Midday,Rock,Ground
492,F,Clefable,Fairy,
493,F,Shadow Malamar,Psychic,Dark
494,F,Seismitoad,Water,Ground
495,F,Shadow Sawk,Fighting,
496,F,Blastoise,Water,
497,F,Piloswine,Ice,
498,F,Venusaur,Grass,
499,F,Ampharos,Electric,Dark
500,F,Shadow Glalie,Ice,
501,F,Shadow Meganium,Grass,
502,F,Shadow Vileplume,Poison,
503,F,Eelektross,Electric,
504,F,Carracosta,Rock,Water
505,F,Shadow Grumpig,Psychic,Ghost
506,F,Flapple,Dragon,Flying
507,F,Regice,Normal,Ice
508,F,Shadow Muk,Ghost,Poison
509,F,Azelf,Psychic,
510,F,Ninetales,Fire,
511,F,Shiftry,Dark,
512,F,Alolan Muk,Dark,
513,F,Stoutland,Ghost,Electric
514,F,Gourgeist Average Size,Ghost,
515,F,Toxicroak,Fighting,Ghost
516,F,Lapras,Ice,Water
517,F,Manectric,Electric,
518,F,Milotic,Water,
519,F,Shadow Electabuzz,Electric,
520,F,Regirock,Rock,
521,F,Jellicent,Water,Ghost
522,F,Dusknoir,Ghost,
523,F,Zebstrika,Electric,
524,F,Heatmor,Fire,
525,F,Crobat,Flying,Ghost
526,F,Nidoqueen,Ground,
527,F,Shadow Froslass,Ghost,
528,F,Shadow Sudowoodo,Rock,
529,F,Shadow Golduck,Water,
530,F,Kingdra,Dragon,
531,F,Revavroom,Ghost,Fire
532,F,Shadow Fraxure,Dragon,
533,F,Doublade,Ghost,Fighting
534,F,Shadow Primeape,Fighting,Ghost
535,F,Galarian Slowking,Psychic,Ghost
536,F,Beheeyem,Psychic,
537,F,Dondozo,Water,
538,F,Wyrdeer,Psychic,
539,F,Shadow Alolan Sandslash,Steel,Ground
540,F,Cofagrigus,Ghost,
541,F,Runerigus,Ghost,
542,F,Lunatone,Rock,Ice
543,F,Snorlax,Ghost,Normal
544,F,Simisear,Fire,
545,F,Corviknight,Ground,Flying
546,F,Mega Mawile,Fairy,
547,F,Rapidash,Fire,Electric
548,F,Politoed,Water,
549,F,Arboliva,Normal,Ground
550,F,Alolan Raichu,Electric,
551,F,Shadow Porygon2,Normal,
552,F,Heliolisk,Normal,Electric
553,F,Shadow Victreebel,Poison,
554,F,Shadow Magmar,Fire,
555,F,Klawf,Rock,
556,F,Shadow Alolan Ninetales,Fire,
557,F,Sandslash,Ground,
558,F,Pheromosa,Bug,
559,F,Shadow Camerupt,Fire,Ground
560,F,Shadow Sneasel,Dark,Ice
561,F,Swanna,Flying,
562,F,Durant,Steel,Bug
563,F,Rotom Frost,Electric,
564,F,Rotom Heat,Electric,
565,F,Rotom Mow,Electric,
566,F,Rotom Wash,Electric,
567,F,Mega Medicham,Fighting,
568,F,Bellibolt,Electric,
569,F,Shadow Serperior,Grass,
570,F,Shadow Obstagoon,Ghost,Dark
571,F,Cursola,Ghost,
572,F,Shadow Cacturne,Dark,Grass
573,F,Scyther,Bug,
574,F,Kabutops,Water,Rock
575,F,Kilowattrel,Electric,
576,F,Solrock,Rock,
577,F,Shadow Skarmory,Steel,Flying
578,F,Gourgeist,Ghost,
579,F,Gourgeist Small Size,Ghost,
580,F,Magneton,Electric,
581,F,Poliwrath,Fighting,
582,F,Zygarde Ten Percent,Dragon,
583,F,Shadow Galvantula,Bug,Electric
584,F,Gliscor,Ground,
585,F,Noivern,Flying,Dragon
586,F,Ribombee,Fairy,
587,F,Shadow Noctowl,Flying,
588,F,Gastrodon East Sea,Ground,
589,F,Gastrodon West Sea,Ground,
590,F,Shadow Weezing,Rock,Ghost
591,F,Spiritomb,Dark,Ghost
592,F,Dodrio,Flying,
593,F,Mimikyu,Ghost,Fairy
594,F,Rotom Fan,Flying,Electric
595,F,Aegislash Blade,Psychic,Ghost
596,F,Shadow Gothitelle,Psychic,
597,F,Mesprit,Psychic,Ice
598,F,Starmie,Water,
599,F,Shadow Ferrothorn,Steel,Grass
600,F,Galarian Weezing,Fairy,
601,F,Ludicolo,Water,
602,F,Gogoat,Grass,
603,F,Garganacl,Rock,
604,F,Skuntank,Dark,Poison
605,F,Hitmonlee,Fighting,Fire
606,F,Toedscruel,Ground,
607,F,Shadow Xatu,Flying,Ghost
608,F,Slurpuff,Fairy,
609,F,Indeedee,Psychic,Ghost
610,F,Raichu,Electric,
611,F,Floatzel,Water,
612,F,Arctibax,Dragon,Ice
613,F,Shadow Altaria,Dragon,Flying
614,F,Alolan Sandslash,Steel,Ice
615,F,Scolipede,Bug,Poison
616,F,Wailord,Water,
617,F,Shadow Hitmontop,Fighting,Ice
618,F,Togedemaru,Electric,
619,F,Suicune,Dark,Water
620,F,Dipplin,Dragon,
621,F,Espathra,Psychic,
622,F,Galarian Slowbro,Poison,Dark
623,F,Shadow Accelgor,Bug,
624,F,Shadow Hitmonchan,Fighting,
625,F,Lickilicky,Ghost,
626,F,Mega Audino,Normal,Fairy
627,F,Shadow Boldore,Rock,
628,F,Primeape,Fighting,Ghost
629,F,Dragalge,Dragon,
630,F,Drapion,Dark,Poison
631,F,Shadow Lairon,Steel,Rock
632,F,Shadow Forretress,Bug,Steel
633,F,Leafeon,Grass,
634,F,Sawk,Fighting,
635,F,Shadow Exploud,Dark,Normal
636,F,Perrserker,Steel,Fairy
637,F,Fraxure,Dragon,
638,F,Shadow Throh,Fighting,
639,F,Komala,Rock,Fairy
640,F,Electabuzz,Electric,
641,F,Lokix,Dark,
642,F,Cacturne,Dark,Grass
643,F,Shadow Tangela,Grass,
644,F,Vileplume,Poison,
645,F,Leavanny,Bug,
646,F,Froslass,Ghost,
647,F,Slowbro,Water,
648,F,Slowking,Water,
649,F,Morpeko Hangry,Electric,Dark
650,F,Scrafty,Dark,
651,F,Sudowoodo,Rock,
652,F,Hisuian Electrode,Electric,
653,F,Glalie,Ice,
654,F,Malamar,Psychic,Dark
655,F,Shadow Pidgeot,Flying,
656,F,Muk,Ghost,Poison
657,F,Shadow Tentacruel,Poison,Water
658,F,Musharna,Psychic,Fairy
659,F,Dudunsparce,Dragon,Rock
660,F,Dudunsparce Three Segment,Dragon,Rock
661,F,Camerupt,Fire,Ground
662,F,Shadow Steelix,Steel,Dragon
663,F,Sneasel,Dark,Ice
664,F,Simipour,Water,
665,F,Shadow Probopass,Rock,
666,F,Wigglytuff,Fairy,
667,F,Meganium,Grass,
668,F,Grumpig,Psychic,Ghost
669,F,Victreebel,Poison,
670,F,Paldean Tauros Aqua,Fighting,Ground
671,F,Paldean Tauros Blaze,Fighting,Ground
672,F,Paldean Tauros Combat,Fighting,Ground
673,F,Magmar,Fire,
674,F,Shadow Cresselia,Psychic,
675,F,Deoxys Speed,Psychic,Electric
676,F,Shadow Whiscash,Water,Ground
677,F,Galvantula,Bug,Electric
678,F,Grapploct,Fighting,
679,F,Appletun,Ghost,Dragon
680,F,Pelipper,Water,
681,F,Shadow Bellossom,Grass,Fairy
682,F,Coalossal,Fire,Rock
683,F,Morpeko,Electric,
684,F,Simisage,Grass,
685,F,Golduck,Water,
686,F,Shadow Claydol,Ground,
687,F,Squawkabilly,Flying,
688,F,Squawkabilly Blue Plumage,Flying,
689,F,Squawkabilly White Plumage,Flying,
690,F,Squawkabilly Yellow Plumage,Flying,
691,F,Shadow Machoke,Fighting,
692,F,Shadow Alolan Graveler,Rock,
693,F,Shadow Graveler,Rock,
694,F,Shadow Cradily,Bug,Rock
695,F,Fearow,Flying,
696,F,Shadow Hypno,Psychic,Ghost
697,F,Dachsbun,Fairy,
698,F,Turtonator,Fire,
699,F,Shadow Electrode,Electric,
700,F,Shadow Amoonguss,Dark,Poison
701,F,Shadow Qwilfish,Water,Ghost
702,F,Aromatisse,Fairy,
703,F,Salazzle,Fire,Dragon
704,F,Galarian Mr. Mime,Psychic,Ice
705,F,Falinks,Fighting,
706,F,Xatu,Flying,Ghost
707,F,Shadow Golbat,Flying,Ghost
708,F,Oranguru,Psychic,Dark
709,F,Grafaiai,Poison,
710,F,Chimecho,Psychic,Ghost
711,F,Porygon2,Normal,
712,F,Accelgor,Bug,
713,F,Shadow Ambipom,Normal,Flying
714,F,Bruxish,Water,
715,F,Mr. Mime,Psychic,Ghost
716,F,Shadow Quagsire,Water,Ground
717,F,Serperior,Grass,
718,F,Sawsbuck Autumn,Dark,Electric
719,F,Sawsbuck Spring,Dark,Electric
720,F,Sawsbuck Summer,Dark,Electric
721,F,Sawsbuck Winter,Dark,Electric
722,F,Indeedee Female,Psychic,
723,F,Deoxys Normal,Psychic,
724,F,Skarmory,Steel,Flying
725,F,Weezing,Rock,Ghost
726,F,Noctowl,Flying,
727,F,Shadow Shelgon,Dragon,
728,F,Exploud,Dark,Normal
729,F,Hisuian Qwilfish,Poison,Ghost
730,F,Shadow Stantler,Normal,Electric
731,F,Alolan Marowak,Fire,Ghost
732,F,Boldore,Rock,
733,F,Gothitelle,Psychic,
734,F,Haunter,Ghost,
735,F,Thievul,Dark,Fairy
736,F,Obstagoon,Ghost,Dark
737,F,Shadow Registeel,Steel,Electric
738,F,Shadow Venomoth,Bug,
739,F,Shadow Mightyena,Dark,Fairy
740,F,Oricorio Baile,Flying,
741,F,Oricorio Pau,Flying,
742,F,Oricorio Pompom,Flying,
743,F,Oricorio Sensu,Flying,
744,F,Pidgeot,Flying,
