Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Walrein,90.2,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Raikou,90,243,electric,none,132,110.6,116,1693495,16,1498,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Cradily (Shadow),89.9,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Lileep,89.8,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Pachirisu,89.7,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Hyper Fang,Thunder Punch,4,3,5,75000
Dubwool,89.6,832,normal,none,110.6,143,128,2025159,25.5,1497,Double Kick,Body Slam,Payback,3,5,3,10000
Araquanid,89.5,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Jumpluff (Shadow),89.3,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Energy Ball,Acrobatics*,5,7,3,50000
Charjabug (Shadow),89.2,737,bug,electric,114.8,134.8,126,1949448,36.5,1497,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Emolga,89.2,587,electric,flying,127.6,110.2,125,1758025,39.5,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Seaking,89.2,119,water,none,121.9,109,138,1833820,26,1500,Peck,Drill Run*,Icy Wind*,5,6,3,50000
Dudunsparce,89.1,982,normal,none,116.1,98.6,169,1934787,20.5,1500,Rollout,Body Slam,Drill Run,3,4,3,50000
Crustle (Shadow),89,558,bug,rock,120.3,134.7,115,1863686,22,1499,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Stunfisk,88.9,618,ground,electric,101.5,126.7,172,2211731,26,1499,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Sealeo,88.7,364,ice,water,109,112.8,168,2065168,36,1500,Powder Snow,Surf,Body Slam,6,5,3,50000
Tentacruel,88.7,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Pelipper,88.6,279,water,flying,123.3,128.7,115,1825336,26,1500,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Kecleon,88.5,352,normal,none,115.6,142.2,118,1939686,27.5,1499,Sucker Punch,Thunder Punch,Dynamic Punch,6,7,5,75000
Lileep (Shadow),88.4,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Bellibolt,88.3,939,electric,none,115.1,110.2,154,1952887,21,1500,Thunder Shock,Zap Cannon,Parabolic Charge,9,6,1,50000
Ninetales,88.3,38,fire,none,114.4,135.5,126,1953716,24.5,1496,Ember*,Weather Ball (Fire),Energy Ball*,4,5,3,50000
Araquanid (Shadow),88.2,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Bubble Beam,Water Pulse,14,17,3,50000
Golisopod,88.2,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Dartrix,88.1,723,grass,flying,112.5,115.5,154,2001159,36.5,1500,Peck,Brave Bird,Energy Ball,7,6,3,10000
Noctowl,88.1,164,normal,flying,105.3,120.2,168,2126381,28,1500,Wing Attack,Shadow Ball,Return<sup>†</sup>,7,9,1,10000
Pidgeot,88,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Gust*,Air Cutter*,Brave Bird,3,4,1,10000
Victreebel (Shadow),88,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Blaziken (Shadow),87.9,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Fearow,87.9,22,normal,flying,131.5,104.6,124,1705662,28,1500,Peck,Drill Peck,Drill Run,5,5,1,10000
Lapras (Shadow),87.9,131,water,ice,104.7,114.6,179,2147136,21.5,1499,Psywave,Sparkling Aria,Ice Beam*,12,14,5,75000
Lickitung,87.9,108,normal,none,96.6,127.7,186,2295742,50,1491,Lick,Body Slam*,Power Whip,12,17,3,50000
Togedemaru,87.9,777,electric,steel,132.2,107.3,120,1701782,25.5,1500,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Electrode (Hisuian),87.8,101,electric,grass,123.3,128.7,115,1825336,26,1500,Thunder Shock,Wild Charge,Energy Ball,5,5,3,50000
Gyarados (Shadow),87.7,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Samurott,87.7,503,water,none,128,100.9,136,1756037,19.5,1500,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Castform,87.6,351,normal,none,112.6,121.3,146,1993800,39.5,1500,Hex,Weather Ball (Rock),Energy Ball,3,4,5,75000
Diggersby,87.6,660,normal,ground,95.7,140.3,174,2337114,47,1499,Mud Shot,Fire Punch,Scorching Sands,5,6,1,10000
Diggersby (Shadow),87.6,660,normal,ground,95.7,140.3,174,2337114,47,1499,Mud Shot,Scorching Sands,Fire Punch,6,5,1,10000
Dodrio,87.6,85,normal,flying,143.8,98.4,110,1556601,23.5,1496,Peck,Drill Peck,Brave Bird,5,7,3,50000
Magnezone,87.6,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Sealeo (Shadow),87.6,364,ice,water,109,112.8,168,2065168,36,1500,Powder Snow,Surf,Body Slam,6,5,3,50000
Toucannon,87.5,733,normal,flying,137.3,96.8,123,1634212,20.5,1500,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Victreebel,87.5,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Walrein (Shadow),87.5,365,ice,water,112.5,114.9,154,1990879,20.5,1500,Powder Snow*,Icicle Spear*,Earthquake,5,9,3,50000
Dewott (Shadow),87.4,502,water,none,124.1,99.8,146,1808108,35,1499,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Azumarill,87.3,184,water,fairy,93.4,134.5,191,2399514,43,1499,Bubble,Ice Beam,Play Rough,5,6,3,50000
Gyarados,87.3,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Blastoise,87.2,9,water,none,112.1,137.7,130,2007546,23,1500,Rollout,Hydro Cannon*,Skull Bash,4,6,3,10000
Lanturn,87.2,171,water,electric,104.8,105.5,194,2145463,27,1500,Water Gun,Surf,Thunderbolt,15,19,3,50000
Qwilfish (Shadow),87.1,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Samurott (Shadow),87.1,503,water,none,128,100.9,136,1756037,19.5,1500,Fury Cutter,Hydro Cannon*,Megahorn,10,14,3,10000
Vespiquen,87,416,bug,flying,108.9,143.5,132,2061993,28,1499,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Ninetales (Shadow),86.9,38,fire,none,114.4,135.5,126,1953716,24.5,1496,Ember*,Weather Ball (Fire),Energy Ball*,4,5,3,50000
Decidueye (Hisuian),86.8,724,grass,fighting,126.9,109.5,127,1764738,19,1499,Psycho Cut,Energy Ball,Aura Sphere,5,5,3,10000
Barbaracle,86.7,689,rock,water,121,133.1,115,1851007,20.5,1499,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Lumineon,86.5,457,water,none,109,137.4,137,2052476,32.5,1498,Gust,Aqua Tail,Silver Wind,3,4,3,50000
Palkia (Shadow),86.5,484,water,dragon,140.4,110,100,1543554,13.5,1473,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Ampharos,86.4,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Poliwrath,86.4,62,water,fighting,115.8,122,137,1936317,21.5,1500,Mud Shot,Icy Wind,Dynamic Punch,5,5,3,50000
Raikou (Shadow),86.4,243,electric,none,133.6,109.9,113,1659339,15.5,1489,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Qwilfish,86.3,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Raichu,86.3,26,electric,none,133.6,110.6,114,1684547,25.5,1500,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Blaziken,86.1,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Castform (Sunny),86.1,351,fire,none,112.6,121.3,146,1993800,39.5,1500,Ember,Weather Ball (Fire),Solar Beam,4,9,5,75000
Dondozo,86,977,water,none,104.6,109.7,187,2146006,18.5,1499,Waterfall,Surf,Outrage,5,6,5,75000
Gourgeist (Average),86,711,ghost,grass,115.9,145.1,115,1933691,23.5,1498,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Quaquaval,86,914,water,fighting,137.7,98.6,120,1629772,18,1499,Low Kick,Close Combat,Hydro Cannon*,6,5,3,10000
Venusaur,86,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Wormadam (Trash),86,413,bug,steel,105,151.1,135,2141526,41,1500,Sucker Punch,Bug Buzz,Iron Head,9,8,1,10000
Venusaur (Shadow),85.9,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Dewgong,85.8,87,water,ice,102,136.9,157,2192411,28.5,1498,Ice Shard*,Icy Wind*,Drill Run,5,4,3,50000
Ledian,85.8,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Rollout,Dynamic Punch,Acrobatics,4,5,1,10000
Abomasnow,85.7,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Amoonguss,85.7,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Foul Play,Grass Knot,4,5,3,50000
Gourgeist (Large),85.7,711,ghost,grass,115.9,137.2,122,1940488,22,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Linoone,85.7,264,normal,none,114.1,111.8,154,1965124,38.5,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Pawmot,85.7,923,electric,fighting,145.1,95.5,112,1551733,21,1500,Thunder Shock,Brick Break*,Wild Charge,5,5,3,75000
Rapidash (Shadow),85.7,78,fire,none,133.7,111.5,112,1669979,22.5,1499,Incinerate,Drill Run,Wild Charge*,2,3,3,50000
Ursaring (Shadow),85.7,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Swift,Close Combat,5,6,3,50000
Abomasnow (Shadow),85.6,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Dewott,85.6,502,water,none,122.6,99.8,149,1822620,35,1496,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Ferrothorn,85.6,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Gogoat,85.6,673,grass,none,119.7,95,165,1876484,19.5,1499,Vine Whip,Leaf Blade,Rock Slide,5,6,3,50000
Gourgeist (Super),85.6,711,ghost,grass,115.1,131.6,129,1953944,21,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Poliwrath (Shadow),85.6,62,water,fighting,115.8,122,137,1936317,21.5,1500,Mud Shot,Icy Wind,Dynamic Punch,5,5,3,50000
Rufflet,85.6,627,normal,flying,126.7,92.2,152,1774904,46.5,1500,Peck,Brave Bird,Fly,7,6,5,75000
Chesnaught,85.4,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Chesnaught (Shadow),85.3,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Gastrodon,85.3,423,water,ground,113.2,103.4,168,1966737,24,1495,Mud Slap,Body Slam,Earth Power,4,5,3,50000
Trumbeak (Shadow),85.2,732,normal,flying,133.7,94.3,132,1664964,46,1492,Peck,Drill Peck,Rock Blast,5,5,1,10000
Magnezone (Shadow),85.1,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Munchlax,85.1,446,normal,none,103.2,96.6,218,2172279,30,1499,Tackle,Body Slam,Bulldoze,12,15,5,10000
Swanna,85.1,581,water,flying,128.6,101.1,134,1741978,26.5,1497,Gust,Aqua Jet,Fly,3,4,3,50000
Blastoise (Shadow),85,9,water,none,112.1,137.7,130,2007546,23,1500,Rollout,Hydro Cannon*,Skull Bash,4,6,3,10000
Spinda,85,327,normal,none,110.1,110.1,142,1720678,50,1380,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Tentacruel (Shadow),85,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Milotic (Shadow),84.9,350,water,none,113.2,133.9,131,1985080,18.5,1498,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Raticate (Alolan),84.9,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Return<sup>†</sup>,6,9,1,10000
Zapdos (Shadow),84.9,145,electric,flying,138.1,103.5,112,1601039,15,1489,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Greninja (Shadow),84.8,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Slowbro,84.8,80,water,psychic,113.4,120.9,144,1974848,22,1500,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Spidops,84.8,918,bug,none,111,138.9,131,2019559,37.5,1497,Shadow Claw,Lunge,Rock Tomb,6,7,1,50000
Zapdos,84.8,145,electric,flying,135.7,104.7,115,1633229,15.5,1493,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Heracross,84.7,214,bug,fighting,134.7,108.4,114,1664501,17.5,1500,Fury Cutter,Upper Hand,Rock Tomb,10,13,3,50000
Bellossom,84.6,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Swampert,84.6,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Swanna (Shadow),84.6,581,water,flying,128.6,101.1,134,1741978,26.5,1497,Gust,Aqua Jet,Fly,3,4,3,50000
Feraligatr (Shadow),84.5,160,water,none,123.9,117.4,125,1817697,19.5,1500,Shadow Claw,Hydro Cannon*,Ice Beam,5,7,3,10000
Thundurus (Incarnate) (Shadow),84.5,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Furfrou,84.4,676,normal,none,115.5,125.2,134,1937601,26.5,1496,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Ledian (Shadow),84.4,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Rollout,Dynamic Punch,Acrobatics,4,5,1,10000
Gourgeist (Small),84.3,711,ghost,grass,116.9,153,107,1913042,25,1499,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Starmie (Shadow),84.3,121,water,psychic,133.2,122,104,1689998,21.5,1500,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Vigoroth,84.3,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Samurott (Hisuian),84.2,503,water,dark,132.6,96.8,132,1694230,20,1499,Fury Cutter,Sacred Sword,Icy Wind,9,12,3,10000
Magnemite (Shadow),84.1,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Oinkologne,84.1,916,normal,none,117.7,101.6,159,1900828,21.5,1496,Mud Slap*,Body Slam,Trailblaze,4,5,1,10000
Toxtricity,84.1,849,electric,poison,141.2,95.4,118,1589592,21.5,1500,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Ampharos (Shadow),84,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Bellossom (Shadow),84,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Marowak (Alolan),84,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Bone Club,Shadow Bone*,4,5,3,50000
Girafarig (Shadow),83.9,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Orbeetle,83.8,826,bug,psychic,107.9,168.6,114,2075077,25.5,1496,Psycho Cut,Psyshock,Bug Buzz,5,7,1,10000
Starmie,83.8,121,water,psychic,133.2,122,104,1689998,21.5,1500,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Dipplin,83.7,1011,grass,dragon,114.6,128.9,132,1949793,23.5,1499,Dragon Tail,Seed Bomb,Outrage,4,5,5,75000
Magneton,83.7,82,electric,steel,143.5,114.7,95,1562951,22,1499,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Swampert (Shadow),83.7,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Amoonguss (Shadow),83.6,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Kartana,83.6,798,grass,steel,169.2,99.3,79,1327757,15,1500,Fury Cutter,Leaf Blade,Sacred Sword,9,9,20,100000
Ferrothorn (Shadow),83.5,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Vigoroth (Shadow),83.5,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Electrode,83.4,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Greninja,83.4,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Lopunny,83.4,428,normal,none,112.1,143.6,124,1996020,27.5,1499,Low Kick,Thunder Punch,Shadow Ball,5,7,3,50000
Zeraora,83.4,807,electric,none,138.3,101,114,1592349,15.5,1484,Volt Switch,Plasma Fists,Wild Charge,3,3,20,100000
Dedenne,83.3,702,electric,fairy,124.4,109,133,1803653,30,1498,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Politoed (Shadow),83.3,186,water,none,114,124.3,139,1970072,23,1498,Mud Shot,Weather Ball (Water),Ice Beam*,4,7,3,50000
Quagsire,83.3,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail*,Mud Bomb,4,5,3,50000
Electivire (Shadow),83.2,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Marowak (Alolan) (Shadow),83.2,105,fire,ghost,109.6,148.9,125,2040576,31.5,1496,Fire Spin,Shadow Bone*,Bone Club,5,4,3,50000
Wigglytuff,83.1,40,normal,fairy,115.1,75.5,223,1938893,29,1493,Charm,Icy Wind,Swift,6,5,1,10000
Electrode (Shadow),83,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Servine,83,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Blacephalon,82.9,806,fire,ghost,173.6,88.4,84,1290131,16.5,1497,Incinerate,Mind Blown*,Shadow Ball,2,3,20,100000
Milotic,82.9,350,water,none,113.2,133.9,131,1985080,18.5,1498,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Quagsire (Shadow),82.9,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail*,Mud Bomb,4,5,3,50000
Coalossal,82.8,839,rock,fire,98.2,139.4,167,2285184,24,1500,Fire Spin,Rock Slide,Flame Charge,5,5,3,10000
Farfetch'd,82.8,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Lurantis,82.8,754,grass,none,126.2,117.9,119,1770422,23,1495,Leafage,Leaf Blade,Superpower,5,5,3,50000
Flapple,82.7,841,grass,dragon,138.1,100.1,117,1618070,22.5,1500,Dragon Breath,Seed Bomb,Dragon Pulse,10,14,5,75000
Ludicolo,82.7,272,water,grass,116.5,123.7,134,1930725,24,1500,Astonish,Weather Ball (Water),Energy Ball,4,5,3,50000
Pidgeot (Shadow),82.7,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Gust*,Air Cutter*,Brave Bird,3,4,1,10000
Squawkabilly,82.7,931,normal,flying,133.6,84.8,147,1665931,28,1492,Peck,Brave Bird,Fly,7,6,3,75000
Toedscruel,82.7,949,ground,grass,108.9,143.5,131,2047453,23,1495,Mud Slap,Seed Bomb,Earth Power,4,5,3,50000
Trumbeak,82.7,732,normal,flying,134.1,93.3,134,1675846,48.5,1499,Peck,Drill Peck,Rock Blast,5,5,1,10000
Feraligatr,82.3,160,water,none,123.9,117.4,125,1817697,19.5,1500,Shadow Claw,Hydro Cannon*,Ice Beam,5,7,3,10000
Obstagoon (Shadow),82.3,862,dark,normal,113.2,127.9,137,1985019,21,1500,Counter,Cross Chop,Night Slash,6,6,3,10000
Rapidash,82.3,78,fire,none,133.7,111.5,112,1669979,22.5,1499,Incinerate,Drill Run,Wild Charge*,2,3,3,50000
Serperior,82.1,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant*,Aerial Ace,6,6,3,10000
Magnemite,82,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Slowbro (Shadow),81.9,80,water,psychic,113.4,120.9,144,1974848,22,1500,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Typhlosion (Shadow),81.9,157,fire,none,132.8,108.9,117,1691315,19,1498,Incinerate,Blast Burn*,Thunder Punch,3,2,3,10000
Meganium,81.7,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Noctowl (Shadow),81.7,164,normal,flying,105.3,120.2,168,2126381,28,1500,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Thundurus (Incarnate),81.7,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Pumpkaboo (Super),81.6,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Foul Play,Grass Knot,4,5,5,75000
Genesect,81.5,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal)*,10,14,20,100000
Girafarig,81.5,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Magneton (Shadow),81.5,82,electric,steel,143.5,114.7,95,1562951,22,1499,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Trevenant,81.5,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Primarina,81.4,730,water,fairy,131.6,115.7,112,1705342,17,1500,Waterfall,Disarming Voice,Hydro Cannon*,5,4,3,10000
Sceptile (Shadow),81.4,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Torkoal,81.4,324,fire,none,107.6,151.3,128,2083996,27,1499,Ember,Flame Wheel,Overheat,5,7,3,50000
Roserade,81.3,407,grass,poison,141.9,114.3,97,1574006,18.5,1499,Poison Sting,Weather Ball (Fire)*,Leaf Storm,4,7,3,50000
