Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Probopass,81,476,rock,steel,95.8,205.7,119,2344434,29.0,1499,Spark,Rock Slide,Zap Cannon
Blastoise (Shadow),80.9,9,water,,110.6,140.3,131,2032269,24.0,1500,Rollout,Hydro Cannon,Skull Bash
Swanna (Shadow),80.9,581,water,flying,126.8,102.4,136,1766440,28.0,1499,Gust,Aqua Jet,Fly
Probopass (Shadow),80.8,476,rock,steel,95.8,205.7,119,2344434,29.0,1499,Spark,Rock Slide,Zap Cannon
Castform (Sunny),80.7,351,fire,,110.9,122.1,149,2016808,44.0,1496,Ember,Weather Ball (Fire),Solar Beam
Tyrunt,80.7,696,rock,dragon,125,109.1,131,1786671,42.5,1495,Dragon Tail,Rock Tomb,Stomp
Feraligatr,80.6,160,water,,122.1,120.3,125,1836220,20.0,1497,Shadow Claw,Hydro Cannon,Crunch
Lumineon,80.6,457,water,,107.4,140,139,2089769,35.5,1499,Gust,Aqua Tail,Silver Wind
Solrock,80.6,338,rock,psychic,118.5,110.5,145,1898514,25.5,1500,Psywave,Weather Ball (Fire),Rock Slide
Walrein (Shadow),80.3,365,ice,water,111.4,115.7,156,2011494,21.0,1499,Powder Snow,Icicle Spear,Earthquake
Naclstack,80.2,933,rock,,99.6,145.2,141,2039535,51.0,1425,Mud Shot,Rock Tomb,Rock Blast
Froslass (Shadow),80.1,478,ice,ghost,121.3,116.3,131,1848718,29.0,1498,Hex,Avalanche,Shadow Ball
Primarina,80.1,730,water,fairy,129.7,117.4,114,1734951,17.5,1499,Waterfall,Disarming Voice,Hydro Cannon
Dondozo,80,977,water,,102.9,111.6,190,2183252,19.0,1499,Waterfall,Surf,Outrage
Ninetales (Shadow),80,38,fire,,113.6,135.1,129,1978783,26.0,1499,Ember,Weather Ball (Fire),Energy Ball
Samurott (Hisuian),79.8,503,water,dark,130.4,99.5,132,1712553,20.0,1495,Fury Cutter,Dark Pulse,X-Scissor
Greninja (Shadow),79.6,658,water,dark,137.2,102.8,116,1635404,21.5,1499,Water Shuriken,Hydro Cannon,Night Slash
Graveler (Alolan) (Shadow),79.5,75,rock,electric,120.5,130.7,118,1858409,31.5,1497,Volt Switch,Stone Edge,Rock Blast
Tapu Fini,79.5,788,water,fairy,112.6,159.6,111,1994477,20.0,1500,Water Gun,Surf,Nature's Madness
Blaziken (Shadow),79.4,257,fire,fighting,142.9,92.3,119,1570360,20.0,1498,Ember,Aura Sphere,Blast Burn
Garganacl,79.3,934,rock,,105.2,137.8,147,2131608,21.5,1497,Mud Shot,Rock Tomb,Rock Blast
Palkia (Shadow),79.3,484,water,dragon,140,114.5,100,1602092,14.0,1500,Dragon Breath,Aqua Tail,Draco Meteor
Kabutops,79.2,141,rock,water,134,122.4,102,1672662,21.0,1499,Fury Cutter,Aqua Jet,Stone Edge
Lunatone,79.1,337,rock,psychic,118.5,110.5,145,1898514,25.5,1500,Psywave,Weather Ball (Ice),Rock Slide
Sealeo,79.1,364,ice,water,106.8,114.6,172,2104178,40.0,1500,Powder Snow,Surf,Body Slam
Turtonator,79.1,776,fire,dragon,111.9,155.3,115,1999111,26.5,1497,Ember,Brutal Swing,Dragon Claw
Whiscash,79.1,340,water,ground,106.9,109.7,179,2098246,28.5,1498,Mud Shot,Mud Bomb,Scald
Lairon (Shadow),78.9,305,steel,rock,112.1,150.4,119,2005854,29.0,1500,Metal Sound,Rock Tomb,Body Slam
Tyrantrum,78.9,697,rock,dragon,128.6,116.7,116,1741264,18.0,1497,Dragon Tail,Rock Tomb,Crunch
Golem (Alolan),78.8,76,rock,electric,123.3,123.9,119,1816930,19.0,1497,Volt Switch,Wild Charge,Rock Blast
Politoed,78.8,186,water,,112.5,124.8,142,1993650,24.0,1498,Mud Shot,Weather Ball (Water),Earthquake
Aron (Shadow),78.7,304,steel,rock,112.9,129.5,126,1841309,51.0,1442,Metal Sound,Rock Tomb,Body Slam
Sandshrew (Alolan) (Shadow),78.5,27,ice,steel,116.2,119.5,126,1749660,51.0,1426,Powder Snow,Night Slash,Gyro Ball
Whiscash (Shadow),78.4,340,water,ground,106.9,109.7,179,2098246,28.5,1498,Mud Shot,Mud Bomb,Scald
Wailmer (Shadow),78.3,320,water,,116.2,68.9,241,1928927,51.0,1498,Rollout,Scald,Body Slam
Aggron,78.2,306,steel,rock,115.1,157,108,1952219,19.0,1500,Dragon Tail,Rock Tomb,Thunder
Frigibax,78.1,996,dragon,ice,123.7,83.8,147,1523764,51.0,1376,Dragon Breath,Avalanche,Dragon Claw
Graveler (Alolan),78,75,rock,electric,120.5,130.7,118,1858409,31.5,1497,Volt Switch,Stone Edge,Rock Blast
Seismitoad,77.9,537,water,ground,118,103.6,155,1894968,22.5,1498,Mud Shot,Earth Power,Icy Wind
Bibarel (Shadow),77.8,400,normal,water,122.1,101,149,1837885,35.0,1499,Rollout,Surf,Hyper Fang
Golduck (Shadow),77.8,55,water,,122.9,113.3,131,1825320,23.5,1499,Confusion,Cross Chop,Liquidation
Alomomola,77.7,594,water,,96.2,101,241,2341183,28.0,1500,Waterfall,Hydro Pump,Psychic
Sealeo (Shadow),77.7,364,ice,water,106.8,114.6,172,2104178,40.0,1500,Powder Snow,Surf,Body Slam
Dewgong,77.5,87,water,ice,100.4,138.6,160,2225939,30.0,1495,Ice Shard,Icy Wind,Drill Run
Glalie,77.5,362,ice,,113.6,122.6,142,1977698,28.0,1499,Rollout,Avalanche,Shadow Ball
Urshifu (Rapid Strike),77.5,892,fighting,water,133.6,99.9,126,1681788,15.5,1500,Counter,Aqua Jet,Dynamic Punch
Marshtomp,77.3,259,water,ground,119.3,110.9,142,1877310,37.0,1497,Mud Shot,Surf,Sludge
Sandshrew (Alolan),77.2,27,ice,steel,116.2,119.5,126,1749660,51.0,1426,Powder Snow,Night Slash,Gyro Ball
Castform (Rainy),77.1,351,water,,110.9,122.1,149,2016808,44.0,1496,Water Gun,Weather Ball (Water),Thunder
Kabutops (Shadow),77,141,rock,water,134,122.4,102,1672662,21.0,1499,Fury Cutter,Aqua Jet,Stone Edge
Frillish,76.9,592,water,ghost,107.9,123.7,133,1774491,51.0,1386,Hex,Night Shade,Ice Beam
Ninetales (Alolan) (Shadow),76.9,38,ice,fairy,113.2,137.8,127,1980344,25.5,1497,Charm,Weather Ball (Ice),Psyshock
Slowpoke,76.9,79,water,psychic,102.9,93.8,184,1775868,51.0,1352,Confusion,Psyshock,Water Pulse
Wailmer,76.9,320,water,,116.2,68.9,241,1928927,51.0,1498,Rollout,Scald,Body Slam
Gigalith (Shadow),76.8,526,rock,,126.3,118.5,119,1781010,17.5,1500,Lock On,Superpower,Meteor Beam
Slowpoke (Shadow),76.8,79,water,psychic,102.9,93.8,184,1775868,51.0,1352,Confusion,Psyshock,Water Pulse
Wailord,76.8,321,water,,117.6,68.5,237,1910347,26.0,1499,Rollout,Surf,Return
Articuno,76.7,144,ice,flying,110.8,143.5,127,2019492,18.5,1498,Powder Snow,Icy Wind,Hurricane
Greninja,76.7,658,water,dark,137.2,102.8,116,1635404,21.5,1499,Water Shuriken,Hydro Cannon,Night Slash
Tyrunt (Shadow),76.3,696,rock,dragon,125,109.1,131,1786671,42.5,1495,Dragon Tail,Rock Tomb,Stomp
Tyranitar,76.1,248,rock,dark,127.7,112.9,122,1759191,14.5,1499,Dragon Breath,Brutal Swing,Stone Edge
Marshtomp (Shadow),76,259,water,ground,119.3,110.9,142,1877310,37.0,1497,Mud Shot,Surf,Sludge
Palpitoad,76,536,water,ground,115.9,102.6,162,1926437,50.5,1495,Mud Shot,Earth Power,Water Pulse
Geodude (Alolan) (Shadow),75.7,74,rock,electric,122,122,112,1667037,51.0,1426,Volt Switch,Rock Tomb,Rock Slide
Ninetales (Alolan),75.6,38,ice,fairy,113.2,137.8,127,1980344,25.5,1497,Charm,Weather Ball (Ice),Psyshock
Tyrantrum (Shadow),75.4,697,rock,dragon,128.6,116.7,116,1741264,18.0,1497,Dragon Tail,Crunch,Rock Tomb
Golduck,75.3,55,water,,122.9,113.3,131,1825320,23.5,1499,Confusion,Cross Chop,Liquidation
Regirock (Shadow),75.1,377,rock,,102.8,182,117,2187960,18.5,1500,Lock On,Stone Edge,Focus Blast
Rhyperior (Shadow),75,464,ground,rock,124.7,105.5,137,1803061,15.0,1500,Mud Slap,Drill Run,Rock Wrecker
Rotom (Wash),75,479,electric,water,128.1,145.6,94,1753373,22.5,1499,Thunder Shock,Thunderbolt,Hydro Pump
Bibarel,74.7,400,normal,water,122.1,101,149,1837885,35.0,1499,Rollout,Surf,Hyper Fang
Regice,74.6,378,ice,,102.8,182,117,2187960,18.5,1500,Lock On,Blizzard,Thunder
Cetitan,74.5,975,ice,,118.4,78.2,205,1897985,18.0,1499,Powder Snow,Icicle Spear,Superpower
Gigalith,74.5,526,rock,,126.3,118.5,119,1781010,17.5,1500,Lock On,Superpower,Meteor Beam
Typhlosion (Hisuian),74.5,157,fire,ghost,137.8,107.4,110,1626997,18.5,1498,Ember,Shadow Ball,Wild Charge
Armaldo (Shadow),74.4,348,rock,bug,132.2,110.8,116,1699156,20.0,1499,Fury Cutter,Rock Blast,Liquidation
Tauros (Blaze),74.4,128,fighting,fire,125.1,123.9,116,1797422,20.0,1500,Double Kick,Flame Charge,Trailblaze
Tyranitar (Shadow),74.4,248,rock,dark,127.7,112.9,122,1759191,14.5,1499,Dragon Breath,Brutal Swing,Stone Edge
Dewgong (Shadow),74.2,87,water,ice,100.4,138.6,160,2225939,30.0,1495,Ice Shard,Icy Wind,Drill Run
Glalie (Shadow),74.2,362,ice,,113.6,122.6,142,1977698,28.0,1499,Rollout,Avalanche,Shadow Ball
Blaziken,74,257,fire,fighting,142.9,92.3,119,1570360,20.0,1498,Ember,Aura Sphere,Blast Burn
Marowak (Alolan),74,105,fire,ghost,108.5,150,127,2067910,35.0,1500,Fire Spin,Bone Club,Shadow Bone
Aerodactyl,73.6,142,rock,flying,133.1,104.8,121,1688042,20.5,1499,Dragon Breath,Rock Slide,Earth Power
Cetoddle,73.4,974,ice,,111.2,78.8,210,1841367,51.0,1433,Powder Snow,Avalanche,Body Slam
Geodude (Alolan),72.9,74,rock,electric,122,122,112,1667037,51.0,1426,Volt Switch,Rock Tomb,Rock Slide
Kleavor,72.9,900,bug,rock,142.5,105.6,104,1565706,17.5,1497,Fury Cutter,X-Scissor,Rock Slide
Regice (Shadow),72.9,378,ice,,102.8,182,117,2187960,18.5,1500,Lock On,Blizzard,Thunder
Amaura,72.8,698,rock,ice,115.4,102.9,164,1947032,51.0,1500,Powder Snow,Weather Ball (Ice),Thunderbolt
Wailord (Shadow),72.8,321,water,,117.6,68.5,237,1910347,26.0,1499,Rollout,Surf,Hyper Beam
Lampent (Shadow),72.7,608,ghost,fire,130.5,100.4,131,1716180,38.5,1498,Ember,Heat Wave,Energy Ball
Quaxwell,72.7,913,water,,123,104.8,141,1816877,36.0,1499,Wing Attack,Aqua Jet,Aerial Ace
Marowak (Alolan) (Shadow),72.5,105,fire,ghost,108.5,150,127,2067910,35.0,1500,Fire Spin,Shadow Bone,Bone Club
Rapidash,72.5,78,fire,,133.2,113.3,112,1690627,23.5,1500,Incinerate,Drill Run,Wild Charge
Magmortar (Shadow),72.4,467,fire,,139.9,103.1,111,1601787,18.0,1497,Karate Chop,Fire Punch,Thunderbolt
Kabuto,72.3,140,rock,water,133.6,128.6,97,1667332,51.0,1493,Mud Shot,Aqua Jet,Rock Tomb
Rapidash (Shadow),72.2,78,fire,,133.2,113.3,112,1690627,23.5,1500,Incinerate,Drill Run,Wild Charge
Aurorus (Shadow),71.9,699,rock,ice,112,106.6,168,2006559,20.5,1499,Powder Snow,Weather Ball (Ice),Meteor Beam
Typhlosion (Shadow),71.9,157,fire,,131.8,110.7,117,1706905,19.5,1500,Incinerate,Blast Burn,Thunder Punch
Kabuto (Shadow),71.8,140,rock,water,133.6,128.6,97,1667332,51.0,1493,Mud Shot,Aqua Jet,Rock Tomb
Magmar (Shadow),71.8,126,fire,,133.8,109.3,115,1681934,24.0,1500,Karate Chop,Fire Punch,Scorching Sands
Aerodactyl (Shadow),71.7,142,rock,flying,133.1,104.8,121,1688042,20.5,1499,Dragon Breath,Rock Slide,Earth Power
Omanyte,71.6,138,rock,water,126.5,137.1,102,1769270,48.0,1496,Mud Shot,Rock Tomb,Rock Blast
Omanyte (Shadow),71.2,138,rock,water,126.5,137.1,102,1769270,48.0,1496,Mud Shot,Rock Tomb,Rock Blast
Rhyperior,70.9,464,ground,rock,124.7,105.5,137,1803061,15.0,1500,Mud Slap,Drill Run,Rock Wrecker
Fletchinder (Shadow),70.7,662,fire,flying,123.3,103.5,143,1824410,50.5,1500,Peck,Fly,Heat Wave
Amaura (Shadow),70.5,698,rock,ice,115.4,102.9,164,1947032,51.0,1500,Powder Snow,Weather Ball (Ice),Thunderbolt
Fletchinder,70.4,662,fire,flying,123.3,103.5,143,1824410,50.5,1500,Peck,Fly,Heat Wave
Vanillish,70.4,583,ice,,121.9,121.9,124,1841177,46.0,1499,Astonish,Icy Wind,Signal Beam
Snover,70.2,459,grass,ice,107.9,99.6,141,1515083,51.0,1278,Powder Snow,Energy Ball,Ice Beam
Crawdaunt (Shadow),70.1,342,water,dark,143.4,99.2,110,1565906,23.5,1499,Waterfall,Night Slash,Scald
Aggron (Shadow),70,306,steel,rock,115.1,157,108,1952219,19.0,1500,Dragon Tail,Rock Tomb,Thunder
Slowking (Shadow),70,199,water,psychic,112.2,123,145,2001278,23.0,1499,Confusion,Surf,Blizzard
Articuno (Shadow),69.8,144,ice,flying,110.8,143.5,127,2019492,18.5,1498,Powder Snow,Triple Axel,Hurricane
Lampent,69.7,608,ghost,fire,130.5,100.4,131,1716180,38.5,1498,Ember,Heat Wave,Energy Ball
Victini,69.7,494,psychic,fire,117.4,121.8,134,1916265,17.5,1500,Confusion,V-Create,Psyshock
Piloswine (Shadow),69,221,ice,ground,119.3,100.9,156,1877787,25.0,1498,Powder Snow,Icicle Spear,Stone Edge
Castform (Snowy),68.9,351,ice,,110.9,122.1,149,2016808,44.0,1496,Powder Snow,Weather Ball (Ice),Blizzard
Reshiram (Shadow),68.9,643,dragon,fire,137.5,112,106,1631476,14.0,1500,Dragon Breath,Fusion Flare,Draco Meteor
Armarouge,68.8,936,fire,psychic,130.8,110.1,119,1713579,17.5,1497,Incinerate,Psyshock,Heat Wave
Slowking,68.7,199,water,psychic,112.2,123,145,2001278,23.0,1499,Confusion,Surf,Blizzard
Omastar,68.6,139,rock,water,124.7,128.9,112,1799942,20.5,1498,Mud Shot,Rock Slide,Hydro Pump
Omastar (Shadow),68.4,139,rock,water,124.7,128.9,112,1799942,20.5,1498,Mud Shot,Rock Slide,Hydro Pump
Skeledirge,68.4,911,fire,ghost,120,110.8,141,1874407,18.5,1500,Incinerate,Torch Song,Shadow Ball
Snover (Shadow),68.3,459,grass,ice,107.9,99.6,141,1515083,51.0,1278,Powder Snow,Energy Ball,Ice Beam
Armaldo,68.1,348,rock,bug,132.2,110.8,116,1699156,20.0,1499,Fury Cutter,Rock Blast,Liquidation
Tentacool (Shadow),67.8,72,water,poison,93,136.1,112,1417009,51.0,1147,Poison Sting,Wrap,Water Pulse
Wartortle,67.8,8,water,,107.6,139.9,139,2091871,50.5,1500,Water Gun,Aqua Jet,Ice Beam
Avalugg,67.7,713,ice,,110.7,142,129,2026579,17.5,1498,Ice Fang,Avalanche,Body Slam
Corsola,67.7,222,water,rock,109.2,141.5,133,2056420,50.5,1500,Bubble,Power Gem,Rock Blast
Magmar,67.7,126,fire,,133.8,109.3,115,1681934,24.0,1500,Karate Chop,Fire Punch,Scorching Sands
Magby,67.6,240,fire,,137.8,94.6,118,1538111,51.0,1459,Karate Chop,Fire Punch,Brick Break
Shellos,67.6,422,water,,97.9,99.6,164,1599557,51.0,1252,Mud Slap,Body Slam,Water Pulse
Tentacool,67.6,72,water,poison,93,136.1,112,1417009,51.0,1147,Poison Sting,Wrap,Water Pulse
Typhlosion,67.6,157,fire,,131.8,110.7,117,1706905,19.5,1500,Incinerate,Blast Burn,Thunder Punch
Blacephalon,67.5,806,fire,ghost,172.6,88.5,85,1297966,16.5,1498,Incinerate,Mind Blown,Shadow Ball
Skrelp,67.4,690,poison,water,102.9,102.9,126,1334463,51.0,1172,Acid,Aqua Tail,Twister
Lombre,67.2,271,water,grass,105.4,111.2,141,1652800,51.0,1320,Bubble,Scald,Grass Knot
Piloswine,67.1,221,ice,ground,119.3,100.9,156,1877787,25.0,1498,Powder Snow,Icicle Spear,Stone Edge
Crawdaunt,67,342,water,dark,143.4,99.2,110,1565906,23.5,1499,Waterfall,Night Slash,Scald
Magmortar,66.9,467,fire,,139.9,103.1,111,1601787,18.0,1497,Karate Chop,Fire Punch,Thunderbolt
Relicanth,66.7,369,water,rock,103.3,138.2,152,2170961,23.0,1498,Water Gun,Aqua Tail,Ancient Power
Rotom (Frost),66.7,479,electric,ice,128.1,145.6,94,1753373,22.5,1499,Thunder Shock,Thunderbolt,Blizzard
Jynx,65.8,124,ice,psychic,140,103,111,1599927,22.5,1497,Confusion,Avalanche,Psyshock
Talonflame,65.7,663,fire,flying,119.4,115.3,136,1872061,26.5,1496,Incinerate,Fly,Brave Bird
Avalugg (Hisuian),65.5,713,ice,rock,116.2,134.1,124,1930910,16.5,1499,Powder Snow,Rock Slide,Icy Wind
Stakataka,65.3,805,rock,steel,117.4,172.5,94,1903516,17.0,1496,Rock Throw,Stone Edge,Flash Cannon
Vaporeon,65.3,134,water,,116.7,99.7,165,1920336,18.0,1499,Water Gun,Aqua Tail,Last Resort
Mamoswine (Shadow),65,473,ice,ground,136.1,86,141,1650234,17.0,1499,Powder Snow,Icicle Spear,Stone Edge
Moltres (Shadow),64.8,146,fire,flying,134.6,104.7,118,1663699,16.0,1497,Wing Attack,Fly,Heat Wave
Mantyke,64.6,458,water,flying,99.6,161,118,1892159,51.0,1376,Bubble,Water Pulse,Aerial Ace
Mr. Rime,64.3,866,ice,psychic,126.3,115.5,122,1779946,20.0,1499,Confusion,Icy Wind,Psychic
Sudowoodo,64.2,185,rock,,115.3,130.5,129,1942248,27.5,1497,Counter,Meteor Beam,Trailblaze
Wartortle (Shadow),64.2,8,water,,107.6,139.9,139,2091871,50.5,1500,Water Gun,Aqua Jet,Ice Beam
Brionne,63.9,729,water,,124.1,117.5,124,1808939,31.5,1499,Charm,Aqua Jet,Disarming Voice
Graveler (Shadow),63.4,75,rock,ground,120.5,130.7,118,1858409,31.5,1497,Mud Slap,Rock Slide,Dig
Combusken (Shadow),63.3,256,fire,fighting,128.6,101.9,133,1742874,41.0,1498,Ember,Rock Slide,Flame Charge
Floatzel,63,419,water,,141.5,82.6,135,1578007,23.5,1498,Waterfall,Aqua Jet,Swift
Klawf,62.8,950,rock,,120.1,130.6,119,1867152,24.5,1500,Mud Slap,Bulldoze,Rock Tomb
Lycanroc (Dusk),62.8,745,rock,,142.5,93.8,118,1576914,21.0,1499,Sucker Punch,Stone Edge,Trailblaze
