Rank,Pokemon,Dex,Type1,Type2,Fast Move,Fast Move Type,Charged Move,Charged Move Type,DPS,TDO,ER,CP,Shadow,Mega
51,Shadow Garchomp,445,dragon,ground,Dragon Tail,dragon,Breaking Swipe,dragon,22.12,676,52.00,3962,true,false
52,Shadow Staraptor,398,flying,normal,Quick Attack,normal,Fly,flying,22.11,422,46.21,2825,true,false
53,Mega Garchomp Z,445,dragon,none,Dragon Tail,dragon,Breaking Swipe,dragon,22.08,821,54.53,4858,false,true
54,Mega Latios,381,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,22.07,804,54.23,5007,false,true
55,Mega Heatran,485,fire,steel,Fire Spin,fire,Magma Storm,fire,22.03,914,55.92,5284,false,true
56,Deoxys (Attack Forme),386,psychic,none,Zen Headbutt,psychic,Dark Pulse,dark,21.95,141,34.96,2580,false,false
57,Shadow Gengar,94,ghost,poison,Lick,ghost,Shadow Ball,ghost,21.93,354,43.93,2878,true,false
58,Shadow Latios,381,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,21.90,590,49.89,3812,true,false
59,Shadow Darmanitan,555,fire,none,Fire Fang,fire,Overheat,fire,21.86,404,45.33,3105,true,false
60,Calyrex - Shadow Rider,898,ghost,psychic,Confusion,psychic,Shadow Ball,ghost,21.82,696,51.85,4540,false,false
61,Mega Metagross,376,psychic,steel,Fury Cutter,bug,Meteor Mash,steel,21.71,939,55.68,4911,false,true
62,Shadow Absol,359,dark,none,Snarl,dark,Brutal Swing,dark,21.67,301,41.84,2526,true,false
63,Mega Hawlucha,701,fighting,flying,Low Kick,fighting,Flying Press,fighting,21.64,685,51.34,3935,false,true
64,Shadow Alakazam,65,psychic,none,Confusion,psychic,Psychic,psychic,21.47,364,43.56,3057,true,false
65,Shadow Emboar,500,fighting,fire,Low Kick,fighting,Blast Burn,fire,21.43,452,45.92,2982,true,false
66,Dialga (Origin Forme),483,dragon,steel,Metal Claw,steel,Roar of Time,dragon,21.26,779,52.31,4090,false,false
67,Mewtwo,150,psychic,none,Psycho Cut,psychic,Psystrike,psychic,21.25,665,50.28,4178,false,false
68,Shadow Dragonite,149,dragon,flying,Dragon Tail,dragon,Draco Meteor,dragon,21.25,586,48.71,3792,true,false
69,Mega Feraligatr,160,water,dragon,Water Gun,water,Hydro Cannon,water,21.16,757,51.74,4523,false,true
70,Shadow Darkrai,491,dark,none,Snarl,dark,Shadow Ball,ghost,21.02,484,46.06,3739,true,false
71,Ultra Necrozma,800,dragon,psychic,Psycho Cut,psychic,Outrage,dragon,20.94,656,49.55,4671,false,false
72,Mega Gardevoir,282,fairy,psychic,Confusion,psychic,Psychic,psychic,20.92,652,49.43,4512,false,true
73,Mega Gallade,475,fighting,psychic,Confusion,psychic,Psychic,psychic,20.92,655,49.48,4521,false,true
74,Shadow Conkeldurr,534,fighting,none,Force Palm,fighting,Dynamic Punch,fighting,20.91,519,46.67,3337,true,false
75,Shadow Kyogre,382,water,none,Waterfall,water,Origin Pulse,water,20.88,646,49.23,4115,true,false
76,Lucario,448,fighting,steel,Force Palm,fighting,Aura Sphere,fighting,20.88,431,44.50,2703,false,false
77,Baxcalibur,998,dragon,ice,Ice Fang,ice,Glaive Rush,dragon,20.85,646,49.20,3550,false,false
78,Shadow Groudon,383,ground,none,Mud Shot,ground,Precipice Blades,ground,20.85,645,49.16,4115,true,false
79,Shadow Hydreigon,635,dark,dragon,Bite,dark,Brutal Swing,dark,20.84,553,47.30,3625,true,false
80,Palkia (Origin Forme),484,dragon,water,Dragon Tail,dragon,Spacial Rend,dragon,20.84,702,50.21,4142,false,false
81,Mega Excadrill,530,ground,steel,Metal Claw,steel,Earthquake,ground,20.84,740,50.86,4760,false,true
82,Shadow Excadrill,530,ground,steel,Metal Claw,steel,Scorching Sands,ground,20.83,446,44.79,3244,true,false
83,Shadow Electivire,466,electric,none,Thunder Shock,electric,Wild Charge,electric,20.82,420,44.14,3079,true,false
84,Shadow Heatran,485,fire,steel,Fire Spin,fire,Magma Storm,fire,20.82,615,48.54,3754,true,false
85,Shadow Greninja,658,dark,water,Water Shuriken,water,Hydro Cannon,water,20.79,384,43.09,2654,true,false
86,Galarian Darmanitan (Zen Mode),555,fire,ice,Ice Fang,ice,Avalanche,ice,20.77,493,45.86,3905,false,false
87,Salamence,373,dragon,flying,Dragon Tail,dragon,Fly,flying,20.77,609,48.33,3749,false,false
88,Shadow Raikou,243,electric,none,Thunder Shock,electric,Aura Sphere,fighting,20.70,558,47.17,3452,true,false
89,Enamorus (Incarnate Forme),905,fairy,flying,Fairy Wind,fairy,Fly,flying,20.68,493,45.68,3425,false,false
90,Mega Banette,354,ghost,none,Shadow Claw,ghost,Shadow Ball,ghost,20.67,444,44.51,3594,false,true
91,Shadow Vikavolt,738,bug,electric,Bug Bite,bug,Fly,flying,20.61,410,43.54,3117,true,false
92,Shadow Crawdaunt,342,dark,water,Snarl,dark,Crabhammer,water,20.58,327,41.08,2474,true,false
93,Shadow Sceptile,254,grass,none,Fury Cutter,bug,Frenzy Plant,grass,20.55,409,43.39,2757,true,false
94,Regidrago,895,dragon,none,Dragon Breath,dragon,Dragon Energy,dragon,20.52,686,49.34,2973,false,false
95,Shadow Delphox,655,fire,psychic,Fire Spin,fire,Blast Burn,fire,20.48,474,44.90,3059,true,false
96,Mega Glimmora,970,poison,rock,Rock Throw,rock,Meteor Beam,rock,20.46,683,49.19,4314,false,true
97,Mega Heracross,214,bug,fighting,Fury Cutter,bug,Megahorn,bug,20.46,693,49.35,4814,false,true
98,Shadow Kingler,99,water,none,Bubble,water,Crabhammer,water,20.46,373,42.28,2829,true,false
99,Mega Staraptor,398,fighting,flying,Gust,flying,Fly,flying,20.38,669,48.77,3979,false,true
100,Shadow Tyranitar,248,dark,rock,Bite,dark,Brutal Swing,dark,20.32,626,47.89,3834,true,false
101,Mega Meganium,154,grass,fairy,Vine Whip,grass,Frenzy Plant,grass,20.32,714,49.46,4089,false,true
102,Kartana,798,grass,steel,Fury Cutter,bug,Sacred Sword,fighting,20.32,428,43.52,3677,false,false
103,Shadow Gigalith,526,rock,none,Lock-On,normal,Meteor Beam,rock,20.27,539,46.03,3228,true,false
104,Pheromosa,795,bug,fighting,Bug Bite,bug,Bug Buzz,bug,20.26,266,38.55,2842,false,false
105,Mega Emboar,500,fighting,fire,Low Kick,fighting,Blast Burn,fire,20.25,755,50.05,4371,false,true
106,Hoopa (Unbound),720,dark,psychic,Confusion,psychic,Psychic,psychic,20.20,543,46.00,4006,false,false
107,Shadow Infernape,392,fighting,fire,Fire Spin,fire,Blast Burn,fire,20.19,384,42.16,2683,true,false
108,Mega Beedrill,15,bug,poison,Poison Jab,poison,Sludge Bomb,poison,20.16,406,42.71,3383,false,true
109,Shadow Samurott,503,water,none,Fury Cutter,bug,Hydro Cannon,water,20.16,463,44.14,2826,true,false
110,Shadow Mamoswine,473,ice,ground,Mud Slap,ground,Avalanche,ice,20.12,482,44.50,3328,true,false
111,Shadow Weavile,461,dark,ice,Snarl,dark,Avalanche,ice,20.12,405,42.60,3005,true,false
112,Shadow Charizard,6,fire,flying,Fire Spin,fire,Blast Burn,fire,20.06,438,43.37,2889,true,false
113,Mega Diancie,719,fairy,rock,Rock Throw,rock,Rock Slide,rock,20.05,529,45.44,4346,false,true
114,Zeraora,807,electric,none,Volt Switch,electric,Plasma Fists,electric,20.02,584,46.54,3419,false,false
115,Xurkitree,796,electric,none,Thunder Shock,electric,Discharge,electric,20.00,463,43.88,3937,false,false
116,Shadow Porygon-Z,474,normal,none,Lock-On,normal,Hyper Beam,normal,19.97,406,42.40,3266,true,false
117,Shadow Rhyperior,464,ground,rock,Mud Slap,ground,Rock Wrecker,rock,19.96,630,47.30,3733,true,false
118,Mega Swampert,260,ground,water,Water Gun,water,Hydro Cannon,water,19.94,774,49.78,4401,false,true
119,Aegislash - Blade,681,ghost,steel,Psycho Cut,psychic,Shadow Ball,ghost,19.93,263,38.01,2637,false,false
120,Mega Tyranitar,248,dark,rock,Bite,dark,Brutal Swing,dark,19.92,966,52.57,5347,false,true
121,Thundurus (Therian Forme),642,electric,flying,Volt Switch,electric,Wildbolt Storm,electric,19.90,493,44.41,3659,false,false
122,Shadow Tyrantrum,697,dragon,rock,Dragon Tail,dragon,Meteor Beam,rock,19.85,492,44.29,3128,true,false
123,Haxorus,612,dragon,none,Dragon Tail,dragon,Breaking Swipe,dragon,19.77,508,44.51,3593,false,false
124,Mega Dragonite,149,dragon,flying,Dragon Tail,dragon,Draco Meteor,dragon,19.73,828,50.21,4823,false,true
125,Mega Charizard X,6,dragon,fire,Fire Spin,fire,Blast Burn,fire,19.68,626,46.74,3850,false,true
126,Mega Manectric,310,electric,none,Thunder Fang,electric,Wild Charge,electric,19.61,494,43.92,3580,false,true
127,Shadow Empoleon,395,steel,water,Metal Claw,steel,Hydro Cannon,water,19.61,483,43.68,2900,true,false
128,Landorus (Therian Forme),645,flying,ground,Mud Shot,ground,Sandsear Storm,ground,19.59,580,45.69,3922,false,false
129,Reshiram,643,dragon,fire,Fire Fang,fire,Fusion Flare,fire,19.58,676,47.46,4038,false,false
130,Blaziken,257,fighting,fire,Counter,fighting,Aura Sphere,fighting,19.55,434,42.44,2848,false,false
131,Shadow Typhlosion,157,fire,none,Incinerate,fire,Blast Burn,fire,19.50,426,42.17,2889,true,false
132,Mega Darkrai,491,dark,none,Snarl,dark,Shadow Ball,ghost,19.50,709,47.87,4859,false,true
133,Shadow Luxray,405,electric,none,Snarl,dark,Wild Charge,electric,19.44,394,41.25,2888,true,false
134,Shadow Cacturne,332,dark,grass,Sucker Punch,dark,Grass Knot,grass,19.42,273,37.61,2298,true,false
135,Shadow Landorus (Incarnate Forme),645,flying,ground,Mud Shot,ground,Earth Power,ground,19.41,487,43.43,3588,true,false
136,Shadow Machamp,68,fighting,none,Counter,fighting,Dynamic Punch,fighting,19.33,432,42.03,3056,true,false
137,Terrakion,639,fighting,rock,Double Kick,fighting,Sacred Sword,fighting,19.31,621,45.98,3698,false,false
138,Shadow Entei,244,fire,none,Fire Spin,fire,Overheat,fire,19.30,552,44.64,3473,true,false
139,Mega Starmie,121,psychic,water,Psywave,psychic,Psychic,psychic,19.28,555,44.66,4045,false,true
140,Shadow Haunter,93,ghost,poison,Lick,ghost,Shadow Ball,ghost,19.25,194,34.30,1963,true,false
141,Shadow Zapdos,145,electric,flying,Thunder Shock,electric,Thunderbolt,electric,19.21,493,43.25,3527,true,false
142,Shadow Exeggutor,103,grass,psychic,Confusion,psychic,Psychic,psychic,19.19,420,41.51,3014,true,false
143,Shadow Magnezone,462,electric,steel,Volt Switch,electric,Wild Charge,electric,19.11,455,42.22,3205,true,false
144,Shadow Tornadus (Incarnate Forme),641,flying,none,Air Slash,flying,Grass Knot,grass,19.09,401,40.86,3345,true,false
145,Shadow Archeops,567,flying,rock,Wing Attack,flying,Ancient Power,rock,19.08,333,39.00,3331,true,false
146,Mega Latias,380,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,19.07,846,49.21,4801,false,true
147,Metagross,376,psychic,steel,Fury Cutter,bug,Meteor Mash,steel,19.05,659,46.19,3791,false,false
148,Shadow Alolan Exeggutor,103,dragon,grass,Dragon Tail,dragon,Draco Meteor,dragon,19.05,428,41.46,3014,true,false
149,Inteleon,818,water,none,Pound,normal,Hydro Cannon,water,19.02,388,40.42,2964,false,false
150,Mega Scovillain,952,fire,grass,Fire Fang,fire,Grass Knot,grass,18.98,434,41.49,3298,false,true
151,Mega Pidgeot,18,flying,normal,Wing Attack,flying,Brave Bird,flying,18.95,525,43.47,3680,false,true
152,Shadow Gallade,475,fighting,psychic,Confusion,psychic,Psychic,psychic,18.92,423,41.13,3093,true,false
153,Shadow Gardevoir,282,fairy,psychic,Confusion,psychic,Psychic,psychic,18.92,423,41.13,3093,true,false
154,Shadow Hariyama,297,fighting,none,Force Palm,fighting,Dynamic Punch,fighting,18.87,446,41.61,2829,true,false
155,Shadow Ho-Oh,250,fire,flying,Incinerate,fire,Brave Bird,flying,18.85,647,45.63,3863,true,false
156,Toucannon,733,flying,normal,Peck,flying,Beak Blast,flying,18.85,432,41.24,2689,false,false
157,Shadow Annihilape,979,fighting,ghost,Counter,fighting,Shadow Ball,ghost,18.84,540,43.59,3268,true,false
158,Tapu Lele,786,fairy,psychic,Confusion,psychic,Nature's Madness,fairy,18.84,545,43.69,3494,false,false
159,Shadow Sneasler,903,fighting,poison,Poison Jab,poison,Close Combat,fighting,18.83,386,40.08,3222,true,false
160,Zekrom,644,dragon,electric,Dragon Breath,dragon,Fusion Bolt,electric,18.81,649,45.60,4038,false,false
161,Yveltal,717,dark,flying,Snarl,dark,Oblivion Wing,flying,18.79,681,46.10,3781,false,false
162,Galarian Zapdos,145,fighting,flying,Counter,fighting,Fly,flying,18.79,591,44.49,3548,false,false
163,Moltres,146,fire,flying,Fire Spin,fire,Fly,flying,18.78,567,44.01,3465,false,false
164,Mega Meowstic,678,psychic,none,Confusion,psychic,Psychic,psychic,18.77,546,43.59,3873,false,true
165,Galarian Articuno,144,flying,psychic,Psycho Cut,psychic,Fly,flying,18.76,613,44.85,3590,false,false
166,Mega Froslass,478,ghost,ice,Hex,ghost,Shadow Ball,ghost,18.75,509,42.78,3753,false,true
167,Shadow Latias,380,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,18.72,579,44.15,3510,true,false
168,Shadow Manectric,310,electric,none,Thunder Fang,electric,Wild Charge,electric,18.69,287,37.00,2340,true,false
169,Mega Skarmory,227,flying,steel,Steel Wing,steel,Sky Attack,flying,18.68,561,43.73,3741,false,true
170,Dragapult,887,dragon,ghost,Dragon Tail,dragon,Breaking Swipe,dragon,18.68,525,43.00,3532,false,false
171,Mega Houndoom,229,dark,fire,Snarl,dark,Foul Play,dark,18.63,530,43.02,3842,false,true
172,Shadow Swampert,260,ground,water,Water Gun,water,Hydro Cannon,water,18.62,491,42.19,2974,true,false
173,Mega Raichu X,26,electric,none,Thunder Shock,electric,Wild Charge,electric,18.61,479,41.90,3510,false,true
174,Deoxys (Normal Forme),386,psychic,none,Zen Headbutt,psychic,Thunderbolt,electric,18.59,255,35.78,3160,false,false
175,Shadow Chesnaught,652,fighting,grass,Vine Whip,grass,Frenzy Plant,grass,18.59,516,42.66,2954,true,false
176,Palkia,484,dragon,water,Dragon Tail,dragon,Draco Meteor,dragon,18.55,604,44.32,3991,false,false
177,Mega Blastoise,9,water,none,Water Gun,water,Hydro Cannon,water,18.52,657,45.20,3941,false,true
178,Chandelure,609,fire,ghost,Fire Spin,fire,Shadow Ball,ghost,18.51,430,40.65,3268,false,false
179,Shadow Unfezant,521,flying,normal,Air Slash,flying,Sky Attack,flying,18.50,353,38.67,2734,true,false
180,Dialga,483,dragon,steel,Metal Claw,steel,Draco Meteor,dragon,18.50,638,44.83,4038,false,false
181,Shadow Banette,354,ghost,none,Shadow Claw,ghost,Shadow Ball,ghost,18.44,266,35.94,2298,true,false
182,Shadow Ursaluna,901,ground,normal,Tackle,normal,High Horsepower,ground,18.44,610,44.22,3854,true,false
183,Shadow Lugia,249,flying,psychic,Extrasensory,psychic,Aeroblast+,flying,18.42,866,48.24,3703,true,false
184,Shadow Venusaur,3,grass,poison,Vine Whip,grass,Frenzy Plant,grass,18.40,445,40.80,2720,true,false
185,Shadow Magmortar,467,fire,none,Fire Spin,fire,Fire Blast,fire,18.39,390,39.46,3132,true,false
186,Shadow Sharpedo,319,dark,water,Bite,dark,Hydro Pump,water,18.39,195,33.17,2181,true,false
187,Enamorus (Therian Forme),905,fairy,flying,Fairy Wind,fairy,Fly,flying,18.30,532,42.50,3388,false,false
188,Honchkrow,430,dark,flying,Snarl,dark,Sky Attack,flying,18.27,359,38.47,2711,false,false
189,Garchomp,445,dragon,ground,Dragon Tail,dragon,Breaking Swipe,dragon,18.25,669,44.90,3962,false,false
190,Keldeo,647,fighting,water,Low Kick,fighting,Sacred Sword,fighting,18.23,587,43.41,3698,false,false
191,Rampardos,409,rock,none,Smack Down,rock,Rock Slide,rock,18.22,367,38.59,3298,false,false
192,Staraptor,398,flying,normal,Quick Attack,normal,Fly,flying,18.18,417,39.77,2825,false,false
193,Tapu Koko,785,electric,fairy,Volt Switch,electric,Nature's Madness,fairy,18.17,462,40.81,3168,false,false
194,Shadow Feraligatr,160,water,none,Water Gun,water,Hydro Cannon,water,18.16,454,40.61,2857,true,false
195,Shaymin (Sky Forme),492,flying,grass,Magical Leaf,grass,Grass Knot,grass,18.16,547,42.54,3592,false,false
196,Latios,381,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,18.14,586,43.24,3812,false,false
197,Gengar,94,ghost,poison,Lick,ghost,Shadow Ball,ghost,18.11,350,37.98,2878,false,false
198,Shadow Houndoom,229,dark,fire,Snarl,dark,Foul Play,dark,18.09,326,37.28,2635,true,false
199,Tinkaton,959,fairy,steel,Fairy Wind,fairy,Gigaton Hammer,steel,18.07,564,42.69,2250,false,false
200,Shadow Torterra,389,grass,ground,Mud Slap,ground,Frenzy Plant,grass,18.06,490,41.21,2934,true,false
201,Darmanitan,555,fire,none,Fire Fang,fire,Overheat,fire,18.03,400,39.15,3105,false,false
202,Mega Pyroar,668,fire,normal,Fire Fang,fire,Overheat,fire,18.02,573,42.79,3849,false,true
203,Mega Lopunny,428,fighting,normal,Pound,normal,Hyper Beam,normal,18.00,509,41.51,3745,false,true
204,Shadow Tangrowth,465,grass,none,Vine Whip,grass,Power Whip,grass,18.00,497,41.26,3030,true,false
205,Shadow Thundurus (Incarnate Forme),642,electric,flying,Thunder Shock,electric,Thunder Punch,electric,17.97,378,38.48,3345,true,false
206,Kyurem,646,dragon,ice,Dragon Breath,dragon,Glaciate,ice,17.97,600,43.20,3575,false,false
207,Mega Pinsir,127,bug,flying,Fury Cutter,bug,X-Scissor,bug,17.96,546,42.17,4182,false,true
208,Mega Venusaur,3,grass,poison,Vine Whip,grass,Frenzy Plant,grass,17.90,665,44.19,3698,false,true
209,Mega Chesnaught,652,fighting,grass,Vine Whip,grass,Frenzy Plant,grass,17.88,807,46.34,4093,false,true
210,Chien-Pao,1002,dark,ice,Snarl,dark,Avalanche,ice,17.86,463,40.30,3329,false,false
211,Cinderace,815,fire,none,Fire Spin,fire,Pyro Ball,fire,17.83,452,40.00,3018,false,false
212,Hisuian Zoroark,571,ghost,normal,Snarl,dark,Shadow Ball,ghost,17.83,285,35.65,2615,false,false
213,Mega Golurk,623,ghost,ground,Mud Slap,ground,Earth Power,ground,17.82,590,42.75,4080,false,true
214,Absol,359,dark,none,Snarl,dark,Brutal Swing,dark,17.80,297,35.98,2526,false,false
215,Shadow Toxicroak,454,fighting,poison,Poison Jab,poison,Dynamic Punch,fighting,17.80,320,36.64,2488,true,false
216,Alakazam,65,psychic,none,Confusion,psychic,Psychic,psychic,17.74,361,37.68,3057,false,false
217,Hoopa (Confined),720,ghost,psychic,Confusion,psychic,Shadow Ball,ghost,17.74,467,40.18,3359,false,false
218,Tornadus (Incarnate Forme),641,flying,none,Air Slash,flying,Bleakwind Storm,flying,17.72,447,39.72,3345,false,false
219,Shadow Ursaring,217,normal,none,Metal Claw,steel,Hyper Beam,normal,17.72,362,37.66,2945,true,false
220,Mega Eelektross,604,electric,none,Volt Switch,electric,Thunderbolt,electric,17.71,497,40.76,3844,false,true
221,Breloom,286,fighting,grass,Force Palm,fighting,Grass Knot,grass,17.70,332,36.84,2628,false,false
222,Mega Drampa,780,dragon,normal,Dragon Breath,dragon,Fly,flying,17.69,555,41.87,3891,false,true
223,Spectrier,897,ghost,none,Tackle,normal,Shadow Ball,ghost,17.66,434,39.32,3385,false,false
224,Naganadel,804,dragon,poison,Poison Jab,poison,Sludge Bomb,poison,17.66,409,38.75,3173,false,false
225,Dragonite,149,dragon,flying,Dragon Tail,dragon,Draco Meteor,dragon,17.65,584,42.34,3792,false,false
226,Shadow Alolan Golem,76,electric,rock,Rollout,rock,Wild Charge,electric,17.59,444,39.44,2949,true,false
227,Lunala,792,ghost,psychic,Confusion,psychic,Shadow Ball,ghost,17.58,701,44.18,4042,false,false
228,Mega Aerodactyl,142,flying,rock,Rock Throw,rock,Rock Slide,rock,17.54,562,41.72,4118,false,true
229,Volcarona,637,bug,fire,Bug Bite,bug,Overheat,fire,17.53,529,41.08,3632,false,false
230,Shadow Zebstrika,523,electric,none,Spark,electric,Wild Charge,electric,17.53,300,35.65,2428,true,false
231,Emboar,500,fighting,fire,Low Kick,fighting,Blast Burn,fire,17.53,444,39.32,2982,false,false
232,Mega Gyarados,130,dark,water,Bite,dark,Hydro Pump,water,17.53,736,44.62,4717,false,true
233,Mega Victreebel,71,grass,poison,Magical Leaf,grass,Sludge Bomb,poison,17.51,488,40.23,3505,false,true
234,Shadow Pinsir,127,bug,none,Fury Cutter,bug,X-Scissor,bug,17.49,355,37.11,2959,true,false
235,Shadow Golurk,623,ghost,ground,Mud Slap,ground,Earth Power,ground,17.48,376,37.65,2854,true,false
236,Calyrex - Ice Rider,898,ice,psychic,Confusion,psychic,Psychic,psychic,17.45,696,43.85,4235,false,false
237,Mega Sharpedo,319,dark,water,Bite,dark,Hydro Pump,water,17.44,360,37.17,3273,false,true
238,Hisuian Decidueye,724,fighting,grass,Magical Leaf,grass,Aura Sphere,fighting,17.44,501,40.37,2897,false,false
239,Darkrai,491,dark,none,Snarl,dark,Shadow Ball,ghost,17.42,482,39.95,3739,false,false
240,Groudon,383,ground,none,Mud Shot,ground,Precipice Blades,ground,17.39,645,42.91,4115,false,false
241,Shadow Scizor,212,bug,steel,Fury Cutter,bug,X-Scissor,bug,17.39,369,37.31,3001,true,false
242,Shadow Arcanine,59,fire,none,Fire Fang,fire,Wild Charge,electric,17.37,404,38.15,3029,true,false
243,Koraidon,1007,dragon,fighting,Dragon Tail,dragon,Giga Impact,normal,17.36,631,42.61,3973,false,false
