Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Weezing (Galarian) (Shadow),82,110,poison,fairy,69,78.3,67,361907,8.5,499,Fairy Wind,Brutal Swing,Frustration<sup>†</sup>,4,8,3,50000
Ducklett (Shadow),81.7,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Brave Bird,Aerial Ace,7,6,3,50000
Wobbuffet,81.7,202,psychic,none,38,74.1,235,660649,21,500,Charm,Mirror Coat,,7,0,3,50000
Florges,81.5,671,fairy,none,69.4,80.9,64,359155,6,499,Fairy Wind,Chilling Water*,Disarming Voice,5,5,3,50000
Barboach (Shadow),81.4,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,4,1,10000
Goodra,81.4,706,dragon,none,69.2,78,67,361684,5.5,500,Dragon Breath,Aqua Tail,Draco Meteor,9,17,5,75000
Carbink,81.1,703,rock,fairy,48.6,145.3,73,515416,13.5,500,Rock Throw,Moonblast,Power Gem,12,10,5,75000
Corviknight,81.1,823,flying,steel,62.7,74.7,85,397967,7.5,500,Air Slash,Air Cutter*,Iron Head*,4,6,1,10000
Cubone,80.9,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Miltank,80.9,241,normal,none,60.8,78,86,408023,8,499,Rollout,Body Slam,Gyro Ball,3,4,5,75000
Tarountula,80.9,917,bug,none,58.7,72.9,99,423630,40.5,498,Bug Bite,Grass Knot,Lunge,17,15,1,50000
Zigzagoon (Galarian),80.9,263,dark,normal,53.8,79.8,108,463656,50,500,Tackle,Body Slam,Dig,12,17,1,10000
Shellos,80.8,422,water,none,59.5,65,109,421414,17,500,Mud Slap,Body Slam,Mud Bomb,4,5,3,50000
Jigglypuff,80.6,39,normal,fairy,59.4,38.9,183,422464,28,500,Feint Attack,Body Slam*,Dazzling Gleam,6,10,1,10000
Onix (Shadow),80.6,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Breaking Swipe,Frustration<sup>†</sup>,10,14,5,75000
Probopass (Shadow),80.6,476,rock,steel,56.7,115.5,67,438976,9,499,Rock Throw,Frustration<sup>†</sup>,Magnet Bomb,14,9,3,50000
Stunky,80.6,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Flamethrower,23,28,3,50000
Pidgey,80.5,16,normal,flying,64,62.6,97,388706,29,499,Quick Attack,Aerial Ace,Air Cutter,6,5,1,10000
Azurill,80.3,298,normal,fairy,42.9,72.3,127,393316,50,411,Bubble,Body Slam,Bubble Beam,4,4,3,10000
Binacle,80.3,688,rock,water,61.1,81.7,82,409003,20.5,500,Mud Slap,Ancient Power,Cross Chop,5,4,3,50000
Tinkatink,80.3,957,fairy,steel,57,78.8,97,435825,23,499,Fairy Wind,Flash Cannon,Play Rough,8,7,3,75000
Cubone (Shadow),80,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Bulldoze,4,5,3,50000
Dragonair,80,148,dragon,none,72.7,64.1,74,344851,10.5,500,Dragon Breath,Aqua Tail,Body Slam,9,9,5,75000
Grimer (Alolan),80,88,poison,dark,69.5,50.5,102,357792,14,499,Bite,Crunch,Gunk Shot,23,38,3,50000
Impidimp,79.9,859,dark,fairy,70,55,92,354148,24,498,Bite,Dark Pulse,Foul Play,25,20,5,50000
Mantine,79.9,226,water,flying,60.7,95.1,71,410071,9,499,Bubble,Aerial Ace,Bubble Beam,5,4,5,75000
Sealeo (Shadow),79.9,364,ice,water,62.9,65.1,97,397554,11,500,Powder Snow,Aurora Beam,Body Slam,8,5,3,50000
Spinda,79.9,327,normal,none,64.1,68.4,89,390337,16,500,Psycho Cut,Dig,Icy Wind,6,5,3,50000
Weezing (Galarian),79.6,110,poison,fairy,69,78.3,67,361907,8.5,499,Fairy Wind,Brutal Swing,Hyper Beam,4,9,3,50000
Nosepass (Shadow),79.4,299,rock,none,51.4,136.2,69,482851,20,499,Rock Throw,Frustration<sup>†</sup>,Rock Blast,14,8,3,50000
Lechonk,79.3,915,normal,none,59,65.2,109,419635,27,499,Tackle,Body Slam,Dig,12,17,1,10000
Skuntank,79.3,435,poison,dark,70.9,55.2,90,352071,8,500,Bite,Crunch,Flamethrower,23,28,3,50000
Deino,79.1,633,dark,dragon,68.9,62.1,85,363671,18.5,500,Dragon Breath,Body Slam,Crunch,9,12,5,75000
Foongus,79.1,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Body Slam,Grass Knot,4,5,3,50000
Throh,79,538,fighting,none,63.8,62.7,98,392012,7.5,500,Low Kick,Body Slam,Brick Break,5,5,5,75000
Wailmer,79,320,water,none,67.4,39.5,139,370240,13,500,Rollout,Body Slam,Scald,3,4,1,10000
Meditite,78.8,307,fighting,psychic,59,85.6,84,424209,29,500,Confusion,Ice Punch,Low Sweep,3,3,3,50000
Nosepass,78.8,299,rock,none,50.8,137.9,70,490422,20.5,499,Rock Throw,Rock Blast,Rock Slide,8,9,3,50000
Relicanth,78.8,369,water,rock,60.5,79,86,411326,7.5,499,Water Gun,Ancient Power,Aqua Tail,15,12,5,75000
Quagsire,78.7,195,water,ground,64.1,65,93,387576,9.5,500,Mud Shot,Acid Spray,Aqua Tail*,5,4,3,50000
Tepig,78.7,498,fire,none,67.4,55.5,99,370850,18,500,Ember,Body Slam,Flame Charge,4,6,3,10000
Dewott,78.5,502,water,none,71.3,57.6,85,349306,11,499,Fury Cutter,Aqua Tail,Water Pulse,9,13,3,10000
Onix,78.5,95,rock,ground,50.4,137.7,71,493224,18,500,Rock Throw,Breaking Swipe,Heavy Slam,10,10,5,75000
Probopass,78.5,476,rock,steel,56.3,117.6,67,443868,9.5,500,Rock Throw,Magnet Bomb,Rock Slide,9,9,3,50000
Quagsire (Shadow),78.5,195,water,ground,64.1,65,93,387576,9.5,500,Mud Shot,Acid Spray,Aqua Tail*,5,4,3,50000
Wynaut,78.5,360,psychic,none,39.4,84.6,191,636410,49.5,500,Counter,Mirror Coat,,10,0,3,10000
Drapion,78.4,452,poison,dark,69,79.5,66,362498,8,500,Bite,Aqua Tail,Crunch,18,23,5,75000
Morgrem,78.4,860,dark,fairy,71.8,56.4,85,343809,13,498,Bite,Dark Pulse,Foul Play,25,20,5,50000
Guzzlord,78.2,799,dark,dragon,65.4,38.2,152,380212,6.5,499,Dragon Tail,Brutal Swing,Crunch,3,4,20,100000
Ledyba,78.2,165,bug,flying,52.8,94.1,95,471970,28.5,500,Bug Bite,Aerial Ace,Return<sup>†</sup>,15,24,1,10000
Nidoran Female,78.1,29,poison,none,59.6,67.4,104,417490,24,500,Bite,Body Slam,Poison Fang,18,20,3,50000
Jangmo-o,77.9,782,dragon,none,63.9,72.9,84,391339,20,500,Dragon Tail,Brick Break,Dragon Claw,4,5,5,75000
Ledyba (Shadow),77.9,165,bug,flying,53.7,91.9,94,464068,28,499,Bug Bite,Aerial Ace,Frustration<sup>†</sup>,15,24,1,10000
Stunfisk,77.9,618,ground,electric,59.1,71.5,100,422955,9,500,Mud Shot,Discharge,Muddy Water,5,4,5,75000
Swinub (Shadow),77.9,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Body Slam,Frustration<sup>†</sup>,5,9,3,50000
Pidgey (Shadow),77.8,16,normal,flying,64,62.6,97,388706,29,499,Quick Attack,Aerial Ace,Air Cutter,6,5,1,10000
Tinkatuff,77.8,958,fairy,steel,58.5,81.4,90,428536,14.5,500,Fairy Wind,Flash Cannon,Play Rough,8,7,3,75000
Wormadam (Trash),77.8,413,bug,steel,60.6,87.9,77,410487,12,499,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Azumarill,77.6,184,water,fairy,53.7,77.3,111,460555,12,497,Bubble,Hydro Pump,Ice Beam,7,5,3,50000
Swablu (Shadow),77.2,333,normal,flying,52.9,94.6,94,470159,24.5,500,Astonish,Aerial Ace,Disarming Voice,5,5,1,10000
Grimmsnarl,77,861,dark,fairy,79.2,51.7,77,314895,6.5,499,Bite,Dark Pulse,Foul Play,25,20,5,50000
Kakuna (Shadow),77,14,bug,poison,51.3,75.6,120,465181,50,488,Bug Bite,Frustration<sup>†</sup>,Struggle,24,34,1,10000
Raticate (Alolan) (Shadow),77,20,dark,normal,62,74.9,86,399514,11,499,Bite,Crunch,Frustration<sup>†</sup>,23,35,1,10000
Tadbulb,77,938,electric,none,66.7,53.9,104,373825,21,499,Thunder Shock,Discharge,Parabolic Charge,5,6,1,50000
Deino (Shadow),76.9,633,dark,dragon,68.9,62.1,85,363671,18.5,500,Dragon Breath,Body Slam,Crunch,9,12,5,75000
Igglybuff,76.9,174,normal,fairy,60.2,38.8,178,415972,47,500,Feint Attack,Body Slam*,Psychic,6,10,1,10000
Machop,76.9,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Cottonee,76.6,546,grass,fairy,54,89.2,96,462055,29,500,Charm,Grass Knot,Seed Bomb,7,5,1,10000
Jumpluff,76.6,189,grass,flying,56.5,90.2,87,443300,12,500,Bullet Seed,Acrobatics*,Aerial Ace,5,4,3,50000
Metapod (Shadow),76.6,11,bug,none,49.6,79.8,126,498672,50,498,Bug Bite,Frustration<sup>†</sup>,Struggle,24,34,1,10000
Zubat,76.4,41,poison,flying,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Poison Fang,18,20,1,10000
Forretress (Shadow),76.3,205,bug,steel,64,84.9,72,390851,8.5,500,Bug Bite,Earthquake,Frustration<sup>†</sup>,22,24,5,75000
Grimer,76.3,88,poison,none,68.5,52.5,101,363016,14,500,Acid<sup>†</sup>,Mud Bomb,Sludge,6,5,3,50000
Hakamo-o,76.3,783,dragon,fighting,67.4,77.5,71,370816,11,500,Dragon Tail,Brick Break,Dragon Claw,4,5,5,75000
Dondozo,76.1,977,water,none,60.4,63.1,109,415049,6.5,500,Waterfall,Hydro Pump,Liquidation,8,5,5,75000
Duskull,76.1,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Night Shade,Ominous Wind,5,5,3,50000
Koffing,76.1,109,poison,none,65.2,81.8,72,383745,16,500,Acid<sup>†</sup>,Dark Pulse,Sludge,7,5,3,50000
Nidoran Female (Shadow),76.1,29,poison,none,59.6,67.4,104,417490,24,500,Bite,Body Slam,Frustration<sup>†</sup>,18,35,3,50000
Purugly (Shadow),76.1,432,normal,none,72.8,60.9,77,341050,9.5,499,Scratch,Aerial Ace,Frustration<sup>†</sup>,23,35,3,50000
Zigzagoon (Galarian) (Shadow),76.1,263,dark,normal,53.8,79.8,108,463656,50,500,Tackle,Body Slam,Dig,12,17,1,10000
Coalossal,76,839,rock,fire,57,79.9,96,437625,8,499,Fire Spin,Flame Charge,Rock Blast,5,4,3,10000
Machoke,76,67,fighting,none,74.3,55.9,81,336749,9,500,Karate Chop,Brick Break,Cross Chop*,5,4,3,50000
Oinkologne (Female),76,916,normal,none,63.8,63.8,96,390671,7.5,500,Mud Slap*,Body Slam,Dig,4,5,1,10000
Geodude (Shadow),75.8,74,rock,ground,69.7,74.8,68,354383,14.5,499,Rock Throw,Dig,Frustration<sup>†</sup>,10,14,1,10000
Whirlipede (Shadow),75.8,544,bug,poison,57.3,103.5,73,433002,17,500,Bug Bite,Frustration<sup>†</sup>,Gyro Ball,24,17,1,10000
Wobbuffet (Shadow),75.8,202,psychic,none,38.2,72.3,236,652241,20,499,Charm,Frustration<sup>†</sup>,Mirror Coat,9,7,3,50000
Milotic,75.7,350,water,none,65.7,77.2,75,380442,6.5,500,Dragon Tail,Aqua Tail,Blizzard,3,7,5,75000
Duskull (Shadow),75.5,355,ghost,none,52.8,125.5,71,470314,28.5,499,Astonish,Frustration<sup>†</sup>,Night Shade,7,5,3,50000
Surskit,75.5,283,bug,water,64.8,66.8,89,385149,25,500,Bug Bite,Aqua Jet,Signal Beam,14,19,1,10000
Sentret,75.4,161,normal,none,63,66.8,94,395138,34.5,500,Quick Attack,Brick Break,Dig,5,7,1,10000
Fletchling,75.2,661,normal,flying,65.4,62.2,93,378391,24,499,Peck,Aerial Ace,Fly,6,6,1,10000
Forretress,75.2,205,bug,steel,64,84.9,72,390851,8.5,500,Bug Bite,Earthquake,Heavy Slam,22,17,5,75000
Geodude (Alolan) (Shadow),75.2,74,rock,electric,69.7,74.8,68,354383,14.5,499,Rock Throw,Frustration<sup>†</sup>,Rock Slide,14,9,1,10000
Machop (Shadow),75.2,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Pawniard,75.2,624,dark,steel,77.1,61.7,68,323121,13,500,Fury Cutter,Iron Head,Night Slash,13,9,5,75000
Zubat (Shadow),75.2,41,poison,flying,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Frustration<sup>†</sup>,18,35,1,10000
Corsola (Galarian),75.1,222,ghost,none,57.8,92,81,430751,13,500,Astonish,Night Shade,Power Gem,5,5,3,50000
Ledian (Shadow),75.1,166,bug,flying,56.5,97.7,80,441205,14.5,500,Bug Bite,Acrobatics,Aerial Ace,19,15,1,10000
Mandibuzz,75.1,630,dark,flying,53.1,86.7,102,469993,9,500,Air Slash,Aerial Ace,Dark Pulse,5,6,5,75000
Marowak,75.1,105,ground,none,64.1,87,70,390287,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Tepig (Shadow),75.1,498,fire,none,67.4,55.5,99,370850,18,500,Ember,Body Slam,Flame Charge,4,6,3,10000
Toxapex,75.1,748,poison,water,53.5,128.2,68,466110,11.5,500,Bite,Brine,Gunk Shot,25,38,3,50000
Dragonair (Shadow),74.9,148,dragon,none,72.7,64.1,74,344851,10.5,500,Dragon Breath,Aqua Tail,Body Slam,9,9,5,75000
Gligar,74.9,207,ground,flying,63,83.7,75,394972,10,499,Fury Cutter,Aerial Ace,Dig,12,13,5,75000
Graveler (Alolan) (Shadow),74.9,75,rock,electric,71,73.9,67,351622,10,500,Rock Throw,Frustration<sup>†</sup>,Rock Blast,14,8,1,10000
Moltres (Galarian),74.9,146,dark,flying,66.8,78.7,70,367768,6,498,Sucker Punch,Ancient Power,Brave Bird,7,8,20,100000
Escavalier,74.8,589,bug,steel,76.8,67.8,62,322717,6.5,500,Bug Bite,Acid Spray,Aerial Ace,15,15,3,50000
Mightyena (Shadow),74.8,262,dark,none,73.6,60.4,76,338124,9.5,500,Bite,Crunch,Frustration<sup>†</sup>,23,35,1,10000
Zweilous (Shadow),74.8,634,dark,dragon,70.6,62.8,80,354384,10.5,500,Bite,Body Slam,Dark Pulse,18,25,5,75000
Nidorina (Shadow),74.6,30,poison,none,61.6,68.7,95,401577,14.5,497,Bite,Dig,Frustration<sup>†</sup>,25,35,3,50000
Runerigus,74.6,867,ground,ghost,64.7,96.1,62,385754,8.5,499,Astonish,Brutal Swing,Rock Tomb,4,5,3,50000
Wigglytuff,74.6,40,normal,fairy,67.4,43.2,127,369768,9.5,500,Charm,Dazzling Gleam,Disarming Voice,7,6,1,10000
Snubbull (Shadow),74.5,209,fairy,none,74.2,51.5,88,336360,15.5,500,Bite,Brick Break,Crunch,20,23,3,50000
Drifloon,74.3,425,ghost,flying,64.7,50.8,117,384020,16,499,Astonish,Icy Wind,Ominous Wind,5,5,5,75000
Nidoran Male,74.3,32,poison,none,69.1,57,91,358433,22.5,499,Peck,Body Slam,Horn Attack,5,5,3,50000
Nidorina,74.3,30,poison,none,61.6,68.7,95,401577,14.5,497,Bite,Dig,Poison Fang,25,20,3,50000
Stakataka,74.3,805,rock,steel,69.7,98.9,52,358312,6,499,Rock Throw,Bulldoze,Flash Cannon,9,13,20,100000
Dratini (Shadow),74.2,147,dragon,none,71.6,61.1,79,345926,19,498,Dragon Breath,Aqua Tail,Frustration<sup>†</sup>,9,18,5,75000
Drifloon (Shadow),74.2,425,ghost,flying,64.7,50.8,117,384020,16,499,Astonish,Frustration<sup>†</sup>,Icy Wind,7,5,5,75000
Weedle (Shadow),74.2,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Frustration<sup>†</sup>,Struggle,24,34,1,10000
Altaria,74,334,dragon,flying,59.6,88.8,79,418352,9.5,500,Dragon Breath,Dazzling Gleam,Dragon Pulse,14,14,1,10000
Marowak (Shadow),74,105,ground,none,64.1,87,70,390287,10.5,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Spearow,74,21,normal,flying,76.6,49.1,87,326964,24,500,Peck,Aerial Ace,Drill Peck,6,5,1,10000
Spinarak,74,167,bug,poison,71.3,56.3,87,349284,24,499,Bug Bite,Cross Poison,Night Slash,12,12,1,10000
Wooloo,74,831,normal,none,57.3,78.5,97,435789,28,500,Tackle,Payback,Stomp,20,14,3,10000
Fletchling (Shadow),73.9,661,normal,flying,65.4,62.2,93,378391,24,499,Peck,Aerial Ace,Fly,6,6,1,10000
Raticate (Alolan),73.9,20,dark,normal,62,74.9,86,399514,11,499,Bite,Crunch,Hyper Beam,23,40,1,10000
Inkay,73.7,686,dark,psychic,62.4,67.3,95,399432,21,500,Peck,Night Slash,Psybeam,5,8,3,50000
Nincada,73.7,290,bug,ground,57.2,94,81,435660,26,499,Bug Bite,Aerial Ace,Bug Buzz,15,20,5,75000
Ninetales (Alolan) (Shadow),73.7,38,ice,fairy,66.8,77.7,72,373535,8,499,Charm,Blizzard,Chilling Water*,10,6,3,50000
Yamask (Galarian),73.7,562,ground,ghost,59.1,91.4,78,421650,20,500,Astonish,Night Shade,Rock Tomb,5,5,3,50000
Foongus (Shadow),73.6,590,grass,poison,60.3,63.3,108,412650,20,499,Astonish,Grass Knot,Body Slam,5,4,3,50000
Kakuna,73.6,14,bug,poison,51.3,75.6,120,465181,50,488,Bug Bite,Return<sup>†</sup>,Struggle,24,34,1,10000
Pineco,73.6,204,bug,none,62.3,74.8,86,401102,18,500,Bug Bite,Gyro Ball,Rock Tomb,17,17,5,75000
Venipede (Shadow),73.6,543,bug,poison,62,79.2,82,402755,28.5,499,Bug Bite,Frustration<sup>†</sup>,Gyro Ball,24,17,1,10000
Altaria (Shadow),73.4,334,dragon,flying,59.6,88.8,79,418352,9.5,500,Dragon Breath,Dazzling Gleam,Dragon Pulse,14,14,1,10000
Ledian,73.4,166,bug,flying,56.5,97.7,80,441205,14.5,500,Bug Bite,Acrobatics,Aerial Ace,19,15,1,10000
Meowth (Alolan),73.4,52,dark,none,68.1,60.8,88,364585,24.5,500,Bite,Dark Pulse,Foul Play,25,20,3,50000
Dubwool,73.3,832,normal,none,64.3,81.8,74,389379,8.5,500,Double Kick,Body Slam,Payback,3,5,3,10000
Fidough,73.3,926,fairy,none,62.5,83.2,76,395255,19.5,497,Bite,Body Slam,Play Rough,18,30,3,50000
Golbat (Shadow),73.3,42,poison,flying,67.8,67.4,80,366025,9.5,500,Bite,Air Cutter,Frustration<sup>†</sup>,18,35,1,10000
Metapod,73.3,11,bug,none,49.6,79.8,126,498672,50,498,Bug Bite,Return<sup>†</sup>,Struggle,24,34,1,10000
Skorupi,73.3,451,poison,bug,57.2,96.2,79,434636,19.5,500,Infestation,Aqua Tail,Cross Poison,3,3,5,75000
Whirlipede,73.3,544,bug,poison,57,105.1,73,437161,17.5,499,Bug Bite,Gyro Ball,Signal Beam,17,19,1,10000
Cetoddle,73.1,974,ice,none,63.1,48.3,129,393243,14.5,498,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Glimmora,73.1,970,rock,poison,80.3,58.8,66,311302,6,500,Rock Throw,Dazzling Gleam,Meteor Beam,11,12,3,50000
Machoke (Shadow),73.1,67,fighting,none,74.3,55.9,81,336749,9,500,Karate Chop,Brick Break,Cross Chop*,5,4,3,50000
Sandygast,73.1,769,ghost,ground,65.7,68.9,84,380485,15.5,500,Astonish,Earth Power,Sand Tomb,5,4,3,50000
Umbreon,73.1,197,dark,none,51.9,100.7,92,481184,9,500,Feint Attack,Dark Pulse,Foul Play,9,7,5,75000
Cascoon,73,268,bug,none,52.3,73.6,124,477686,45.5,500,Bug Bite,Struggle,,34,0,1,10000
Silcoon,73,266,bug,none,52.3,73.6,124,477686,45.5,500,Bug Bite,Struggle,,34,0,1,10000
Diancie,72.8,719,rock,fairy,67.8,100.6,50,340946,6.5,483,Rock Throw,Moonblast,Power Gem,12,10,20,100000
Drifblim (Shadow),72.8,426,ghost,flying,69,43.9,119,360710,8,499,Astonish,Frustration<sup>†</sup>,Icy Wind,7,5,5,75000
Dudunsparce,72.8,982,normal,none,67,57.3,97,372475,7,499,Astonish,Body Slam,Dig,4,5,3,50000
Naclstack,72.8,933,rock,none,56.4,89.5,87,439172,15,500,Mud Shot,Ancient Power,Rock Blast,5,5,5,50000
Primarina,72.8,730,water,fairy,76.1,66.5,65,328760,6,500,Charm,Disarming Voice,Hydro Cannon*,6,5,3,10000
Registeel,72.8,379,steel,none,55.2,111.1,73,447239,8,497,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Snom,72.8,872,ice,bug,66,61.1,94,379030,47,500,Powder Snow,Bug Buzz,Icy Wind,8,6,5,75000
Torkoal,72.8,324,fire,none,61.9,87.1,74,399208,9,499,Ember,Earthquake,Flame Wheel,8,5,3,50000
Burmy (Plant),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Sandy),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Trash),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Chinchou,72.6,170,water,electric,61.5,60.9,108,404393,17.5,500,Spark,Thunderbolt,Bubble Beam,8,6,3,50000
Munchlax,72.6,446,normal,none,59.6,55.8,126,418617,10,500,Lick,Body Slam,Bulldoze,12,15,5,10000
Snubbull,72.6,209,fairy,none,74.2,51.5,88,336360,15.5,500,Bite,Brick Break,Crunch,20,23,3,50000
Venomoth,72.6,49,bug,poison,73.1,62.7,74,339439,9,500,Bug Bite*,Bug Buzz,Poison Fang,20,14,3,50000
Fearow,72.5,22,normal,flying,76.5,60,71,325999,9.5,499,Peck,Aerial Ace,Drill Peck,6,5,1,10000
Nymble,72.5,919,bug,none,65.7,61.1,94,377348,37,498,Bug Bite,Bug Buzz,Trailblaze,20,15,1,50000
